sample_key,candidate_score_step24,candidate_tier_step24,is_high_zt_observed_step24,is_low_kappa_high_sigma_step24,is_nanocarbon_candidate_step24
10.1002_adfm.200901261__sample_1417,-30,low,False,False,False
10.1002_adfm.200901905__sample_255,20,review,False,True,False
10.1002_adfm.201000878__sample_26722,-30,low,False,False,False
10.1002_adfm.201000878__sample_26723,-30,low,False,False,False
10.1002_adfm.201000878__sample_26724,-30,low,False,False,False
10.1002_adfm.201000878__sample_26725,-30,low,False,False,False
10.1002_adfm.201000970__sample_5873,-50,low,False,False,False
10.1002_adfm.201000970__sample_5874,-50,low,False,False,False
10.1002_adfm.201000970__sample_5875,-30,low,False,False,False
10.1002_adfm.201001307__sample_16928,60,B,True,True,False
10.1002_adfm.201001307__sample_16929,60,B,True,True,False
10.1002_adfm.201001307__sample_16930,60,B,True,True,False
10.1002_adfm.201102792__sample_20683,5,review,False,False,False
10.1002_adfm.201102792__sample_20684,30,C,False,False,False
10.1002_adfm.201102792__sample_20685,5,review,False,False,False
10.1002_adfm.201103049__sample_21067,-30,low,False,False,False
10.1002_adfm.201103049__sample_21068,-30,low,False,False,False
10.1002_adfm.201103049__sample_21069,-30,low,False,False,False
10.1002_adfm.201103049__sample_21070,-30,low,False,False,False
10.1002_adfm.201103049__sample_21071,-30,low,False,False,False
10.1002_adfm.201201221__sample_209,70,B,False,True,False
10.1002_adfm.201201221__sample_313,20,review,False,True,False
10.1002_adfm.201201221__sample_328,-30,low,False,False,False
10.1002_adfm.201201221__sample_360,-30,low,False,False,False
10.1002_adfm.201202571__sample_4922,-30,low,False,False,False
10.1002_adfm.201202571__sample_4923,-30,low,False,False,False
10.1002_adfm.201202571__sample_4924,-30,low,False,False,False
10.1002_adfm.201202571__sample_4925,-30,low,False,False,False
10.1002_adfm.201202571__sample_4926,-30,low,False,False,False
10.1002_adfm.201202571__sample_4927,-30,low,False,False,False
10.1002_adfm.201300146__sample_1422,85,A,True,True,False
10.1002_adfm.201300146__sample_1424,85,A,True,True,False
10.1002_adfm.201300663__sample_81424,-30,low,False,False,False
10.1002_adfm.201300663__sample_81425,-30,low,False,False,False
10.1002_adfm.201300663__sample_81426,-30,low,False,False,False
10.1002_adfm.201300663__sample_81427,-30,low,False,False,False
10.1002_adfm.201400123__sample_8245,-30,low,False,False,False
10.1002_adfm.201400123__sample_8246,-45,low,False,False,False
10.1002_adfm.201400123__sample_8247,25,C,False,True,False
10.1002_adfm.201400123__sample_8248,-30,low,False,False,False
10.1002_adfm.201400123__sample_8249,-45,low,False,False,False
10.1002_adfm.201400474__sample_26729,40,C,False,True,False
10.1002_adfm.201400474__sample_26730,40,C,False,True,False
10.1002_adfm.201400474__sample_26731,40,C,False,True,False
10.1002_adfm.201400474__sample_26732,25,C,False,True,False
10.1002_adfm.201400474__sample_26733,40,C,False,True,False
10.1002_adfm.201400474__sample_26734,40,C,False,True,False
10.1002_adfm.201400474__sample_26735,40,C,False,True,False
10.1002_adfm.201402211__sample_7641,25,C,False,True,False
10.1002_adfm.201402211__sample_7642,105,A,True,True,False
10.1002_adfm.201402211__sample_7643,105,A,True,True,False
10.1002_adfm.201402663__sample_26754,20,review,False,True,False
10.1002_adfm.201402663__sample_26755,20,review,False,True,False
10.1002_adfm.201402663__sample_26756,20,review,False,True,False
10.1002_adfm.201402663__sample_26757,20,review,False,True,False
10.1002_adfm.201402663__sample_26758,20,review,False,True,False
10.1002_adfm.201402663__sample_26759,20,review,False,True,False
10.1002_adfm.201402663__sample_26760,20,review,False,True,False
10.1002_adfm.201502782__sample_26765,20,review,False,False,False
10.1002_adfm.201502782__sample_26766,30,C,True,False,False
10.1002_adfm.201502782__sample_26767,30,C,True,False,False
10.1002_adfm.201502782__sample_26768,10,review,True,False,False
10.1002_adfm.201503022__sample_13340,-30,low,False,False,False
10.1002_adfm.201503022__sample_13341,-30,low,False,False,False
10.1002_adfm.201600718__sample_19144,5,review,False,False,False
10.1002_adfm.201601486__sample_14503,10,review,False,True,False
10.1002_adfm.201601486__sample_14504,-40,low,False,False,False
10.1002_adfm.201601486__sample_14505,-40,low,False,False,False
10.1002_adfm.201601486__sample_14506,-40,low,False,False,False
10.1002_adfm.201601486__sample_14507,20,review,False,True,False
10.1002_adfm.201601486__sample_14508,-40,low,False,False,False
10.1002_adfm.201601486__sample_14509,70,B,False,True,False
10.1002_adfm.201601486__sample_14510,110,A,True,True,False
10.1002_adfm.201601486__sample_14511,110,A,True,True,False
10.1002_adfm.201601486__sample_14512,110,A,True,True,False
10.1002_adfm.201602652__sample_19500,25,C,False,True,False
10.1002_adfm.201602652__sample_19501,0,review,False,True,False
10.1002_adfm.201602652__sample_19502,-50,low,False,False,False
10.1002_adfm.201602652__sample_19503,-15,low,False,False,False
10.1002_adfm.201602652__sample_19504,-40,low,False,False,False
10.1002_adfm.201602652__sample_19505,-60,low,False,False,False
10.1002_adfm.201606361__sample_31213,-30,low,False,False,False
10.1002_adfm.201606361__sample_31214,-30,low,False,False,False
10.1002_adfm.201606361__sample_31215,-30,low,False,False,False
10.1002_adfm.201606361__sample_31216,-30,low,False,False,False
10.1002_adfm.201606361__sample_31217,-30,low,False,False,False
10.1002_adfm.201606361__sample_31218,-50,low,False,False,False
10.1002_adfm.201606361__sample_31219,-50,low,False,False,False
10.1002_adfm.201606361__sample_31220,-30,low,False,False,False
10.1002_adfm.201606361__sample_31221,-30,low,False,False,False
10.1002_adfm.201705845__sample_83049,-30,low,False,False,False
10.1002_adfm.201705845__sample_83050,-30,low,False,False,False
10.1002_adfm.201705845__sample_83051,-30,low,False,False,False
10.1002_adfm.201705845__sample_83052,-30,low,False,False,False
10.1002_adfm.201705845__sample_83053,-30,low,False,False,False
10.1002_adfm.201705845__sample_83054,-30,low,False,False,False
10.1002_adfm.201705845__sample_83055,-30,low,False,False,False
10.1002_adfm.201801617__sample_39932,45,C,False,True,False
10.1002_adfm.201801617__sample_39933,85,A,True,True,False
10.1002_adfm.201801617__sample_39934,110,A,True,True,False
10.1002_adfm.201801617__sample_39935,20,review,False,True,False
10.1002_adfm.201801617__sample_39937,110,A,True,True,False
10.1002_adfm.201801617__sample_39938,80,A,True,True,False
10.1002_adfm.201801617__sample_39939,110,A,True,True,False
10.1002_adfm.201801617__sample_39940,110,A,True,True,False
10.1002_adfm.201801617__sample_39941,-30,low,False,False,False
10.1002_adfm.201806558__sample_41880,25,C,False,True,False
10.1002_adfm.201806558__sample_41881,110,A,True,True,False
10.1002_adfm.201806558__sample_41882,110,A,True,True,False
10.1002_adfm.201806558__sample_41883,110,A,True,True,False
10.1002_adfm.201806558__sample_41884,85,A,True,True,False
10.1002_adfm.201806558__sample_41885,20,review,False,True,False
10.1002_adfm.201806558__sample_41886,20,review,False,True,False
10.1002_adfm.201806558__sample_41887,25,C,False,True,False
10.1002_adfm.201806558__sample_41912,110,A,True,True,False
10.1002_adfm.201806558__sample_41913,45,C,False,True,False
10.1002_adfm.201806558__sample_79036,25,C,False,True,False
10.1002_adfm.201806613__sample_41570,10,review,True,False,False
10.1002_adfm.201806613__sample_41571,30,C,True,False,False
10.1002_adfm.201806613__sample_41572,110,A,True,True,False
10.1002_adfm.201806613__sample_41573,105,A,True,True,False
10.1002_adfm.201806613__sample_41580,110,A,True,True,False
10.1002_adfm.201806613__sample_41581,30,C,True,False,False
10.1002_adfm.201806613__sample_41582,110,A,True,True,False
10.1002_adfm.201806613__sample_41584,30,C,True,False,False
10.1002_adfm.201806613__sample_41585,30,C,True,False,False
10.1002_adfm.201806613__sample_41595,30,C,True,False,False
10.1002_adfm.201900615__sample_41898,-15,low,False,False,False
10.1002_adfm.201900615__sample_41899,-40,low,False,False,False
10.1002_adfm.201900615__sample_41900,-40,low,False,False,False
10.1002_adfm.201900615__sample_41901,-40,low,False,False,False
10.1002_adfm.201902437__sample_41411,-20,low,False,False,False
10.1002_adfm.201902437__sample_41412,-20,low,False,False,False
10.1002_adfm.201902437__sample_41413,-20,low,False,False,False
10.1002_adfm.201902437__sample_41414,-20,low,False,False,False
10.1002_adfm.201902437__sample_41415,-5,low,False,False,False
10.1002_adfm.201902437__sample_41416,-5,low,False,False,False
10.1002_adfm.201902437__sample_41417,-5,low,False,False,False
10.1002_adfm.201902437__sample_41418,-20,low,False,False,False
10.1002_adfm.201902437__sample_41419,-20,low,False,False,False
10.1002_adfm.201902437__sample_41420,-20,low,False,False,False
10.1002_adfm.201902437__sample_41421,-20,low,False,False,False
10.1002_adfm.201902437__sample_41422,-20,low,False,False,False
10.1002_adfm.201902437__sample_41423,-5,low,False,False,False
10.1002_adfm.201902437__sample_41424,-5,low,False,False,False
10.1002_adfm.201902437__sample_41425,-5,low,False,False,False
10.1002_adfm.201902437__sample_41426,-5,low,False,False,False
10.1002_adfm.201902437__sample_41427,-20,low,False,False,False
10.1002_adfm.201902437__sample_41428,-20,low,False,False,False
10.1002_adfm.201902437__sample_41429,-5,low,False,False,False
10.1002_adfm.201902437__sample_41430,-5,low,False,False,False
10.1002_adfm.201902437__sample_41431,-5,low,False,False,False
10.1002_adfm.201902437__sample_41432,-5,low,False,False,False
10.1002_adfm.201902437__sample_41433,-20,low,False,False,False
10.1002_adfm.201902437__sample_41434,-20,low,False,False,False
10.1002_adfm.201902437__sample_41435,-20,low,False,False,False
10.1002_adfm.201902437__sample_41436,-5,low,False,False,False
10.1002_adfm.201902437__sample_41437,-5,low,False,False,False
10.1002_adfm.201902437__sample_41438,-5,low,False,False,False
10.1002_adfm.201903157__sample_45714,5,review,False,False,False
10.1002_adfm.201903157__sample_45715,5,review,False,False,False
10.1002_adfm.201903157__sample_45716,5,review,False,False,False
10.1002_adfm.201903157__sample_45717,-30,low,False,False,False
10.1002_adfm.201903157__sample_45718,-30,low,False,False,False
10.1002_adfm.201904112__sample_41019,5,review,False,False,False
10.1002_adfm.201904112__sample_41020,5,review,False,False,False
10.1002_adfm.201905044__sample_83181,-30,low,False,False,False
10.1002_adfm.201905044__sample_83182,-45,low,False,False,False
10.1002_adfm.201905044__sample_83183,-50,low,False,False,False
10.1002_adfm.201905044__sample_83184,-30,low,False,False,False
10.1002_adfm.201905044__sample_83185,-30,low,False,False,False
10.1002_adfm.201906143__sample_27119,110,A,True,True,False
10.1002_adfm.201906143__sample_27123,110,A,True,True,False
10.1002_adfm.201906143__sample_27124,110,A,True,True,False
10.1002_adfm.201906143__sample_27127,60,B,True,True,False
10.1002_adfm.201906143__sample_27128,110,A,True,True,False
10.1002_adfm.201906143__sample_27129,110,A,True,True,False
10.1002_adfm.201906143__sample_27130,110,A,True,True,False
10.1002_adfm.201906143__sample_27131,110,A,True,True,False
10.1002_adfm.201906143__sample_27132,110,A,True,True,False
10.1002_adfm.201906143__sample_27133,110,A,True,True,False
10.1002_adfm.201906143__sample_27134,110,A,True,True,False
10.1002_adfm.201908315__sample_36216,85,A,True,True,False
10.1002_adfm.201908315__sample_36217,85,A,True,True,False
10.1002_adfm.201908315__sample_36218,85,A,True,True,False
10.1002_adfm.201908315__sample_36225,80,A,True,True,False
10.1002_adfm.201908405__sample_36198,-40,low,False,False,False
10.1002_adfm.201908405__sample_36199,-25,low,False,False,False
10.1002_adfm.201908405__sample_36200,20,review,False,True,False
10.1002_adfm.201908405__sample_36201,45,C,False,True,False
10.1002_adfm.202000973__sample_33834,-15,low,False,False,False
10.1002_adfm.202000973__sample_33836,5,review,False,False,False
10.1002_adfm.202000973__sample_33837,5,review,False,False,False
10.1002_adfm.202000973__sample_33838,5,review,False,False,False
10.1002_adfm.202001651__sample_37276,-30,low,False,False,False
10.1002_adfm.202001651__sample_37277,-30,low,False,False,False
10.1002_adfm.202001651__sample_37278,-30,low,False,False,False
10.1002_adfm.202001651__sample_37279,-30,low,False,False,False
10.1002_adfm.202007340__sample_42093,45,C,False,True,False
10.1002_adfm.202007340__sample_42094,70,B,False,True,False
10.1002_adfm.202007340__sample_42095,45,C,False,True,False
10.1002_adfm.202007340__sample_42096,45,C,False,True,False
10.1002_adfm.202007340__sample_42097,85,A,True,True,False
10.1002_adfm.202007340__sample_42098,70,B,False,True,False
10.1002_adfm.202007340__sample_42099,110,A,True,True,False
10.1002_adfm.202007340__sample_42100,110,A,True,True,False
10.1002_adfm.202007340__sample_42101,70,B,False,True,False
10.1002_adfm.202007340__sample_42102,110,A,True,True,False
10.1002_adfm.202007340__sample_42103,70,B,False,True,False
10.1002_adfm.202008851__sample_41914,20,review,False,True,False
10.1002_adfm.202008851__sample_41915,85,A,True,True,False
10.1002_adfm.202008851__sample_41916,110,A,True,True,False
10.1002_adfm.202008851__sample_41917,110,A,True,True,False
10.1002_adfm.202008851__sample_41918,110,A,True,True,False
10.1002_adfm.202008851__sample_41919,110,A,True,True,False
10.1002_adfm.202008851__sample_41925,60,B,True,True,False
10.1002_adfm.202008851__sample_41926,85,A,True,True,False
10.1002_adfm.202008851__sample_41927,110,A,True,True,False
10.1002_adfm.202008851__sample_41928,110,A,True,True,False
10.1002_adfm.202008851__sample_41929,110,A,True,True,False
10.1002_adfm.202008851__sample_41930,10,review,True,False,False
10.1002_adfm.202008851__sample_41931,10,review,True,False,False
10.1002_adfm.202008851__sample_41933,10,review,True,False,False
10.1002_adfm.202102185__sample_45225,70,B,False,True,False
10.1002_adfm.202102185__sample_45226,70,B,False,True,False
10.1002_adfm.202102185__sample_45227,95,A,False,True,False
10.1002_adfm.202102185__sample_45228,135,A,True,True,False
10.1002_adfm.202102185__sample_45229,35,C,False,True,False
10.1002_adfm.202102185__sample_45230,35,C,False,True,False
10.1002_adfm.202102185__sample_45231,35,C,False,True,False
10.1002_adfm.202102185__sample_45232,35,C,False,True,False
10.1002_adfm.202102185__sample_45233,70,B,False,True,False
10.1002_adfm.202102185__sample_45234,70,B,False,True,False
10.1002_adfm.202102185__sample_45235,95,A,False,True,False
10.1002_adfm.202102185__sample_45236,95,A,False,True,False
10.1002_adfm.202102185__sample_45237,95,A,False,True,False
10.1002_adfm.202102185__sample_45238,95,A,False,True,False
10.1002_adfm.202102185__sample_45239,95,A,False,True,False
10.1002_adfm.202102185__sample_45240,135,A,True,True,False
10.1002_adfm.202102185__sample_45241,95,A,False,True,False
10.1002_adfm.202103197__sample_44630,85,A,True,True,False
10.1002_adfm.202103197__sample_44631,110,A,True,True,False
10.1002_adfm.202103197__sample_44632,45,C,False,True,False
10.1002_adfm.202103197__sample_44633,110,A,True,True,False
10.1002_adfm.202103197__sample_44634,110,A,True,True,False
10.1002_adma.200502770__sample_13687,110,A,True,True,False
10.1002_adma.200600527__sample_26771,5,review,False,False,False
10.1002_adma.200900409__sample_26773,0,review,False,True,False
10.1002_adma.200900409__sample_26774,-30,low,False,False,False
10.1002_adma.200900409__sample_26775,0,review,False,True,False
10.1002_adma.200900409__sample_26776,-40,low,False,False,False
10.1002_adma.201004200__sample_102,-30,low,False,False,False
10.1002_adma.201004200__sample_124,-30,low,False,False,False
10.1002_adma.201004200__sample_127,-30,low,False,False,False
10.1002_adma.201004200__sample_147,-30,low,False,False,False
10.1002_adma.201004200__sample_324,-30,low,False,False,False
10.1002_adma.201004200__sample_73,-30,low,False,False,False
10.1002_adma.201004739__sample_12718,-30,low,False,False,False
10.1002_adma.201004739__sample_12719,-30,low,False,False,False
10.1002_adma.201004782__sample_20287,30,C,False,False,False
10.1002_adma.201004782__sample_20288,5,review,False,False,False
10.1002_adma.201004782__sample_20289,5,review,False,False,False
10.1002_adma.201103153__sample_26782,-30,low,False,False,False
10.1002_adma.201103153__sample_26783,-30,low,False,False,False
10.1002_adma.201103153__sample_26784,-30,low,False,False,False
10.1002_adma.201103153__sample_26785,-30,low,False,False,False
10.1002_adma.201103153__sample_26786,-30,low,False,False,False
10.1002_adma.201103153__sample_26787,-30,low,False,False,False
10.1002_adma.201104305__sample_84020,65,B,False,True,False
10.1002_adma.201104305__sample_84021,90,A,False,True,False
10.1002_adma.201104305__sample_84022,65,B,False,True,False
10.1002_adma.201201974__sample_6565,-30,low,False,False,False
10.1002_adma.201201974__sample_6566,20,review,False,True,False
10.1002_adma.201202860__sample_12720,20,review,False,True,False
10.1002_adma.201202860__sample_12721,20,review,False,True,False
10.1002_adma.201202860__sample_12722,20,review,False,True,False
10.1002_adma.201203764__sample_1426,20,review,False,True,False
10.1002_adma.201203764__sample_1427,45,C,False,True,False
10.1002_adma.201203764__sample_1428,45,C,False,True,False
10.1002_adma.201203764__sample_1429,45,C,False,True,False
10.1002_adma.201203764__sample_1430,20,review,False,True,False
10.1002_adma.201301675__sample_20783,-15,low,False,False,False
10.1002_adma.201301675__sample_20784,10,review,False,True,False
10.1002_adma.201301675__sample_20785,50,B,True,True,False
10.1002_adma.201301675__sample_20786,10,review,False,True,False
10.1002_adma.201302660__sample_14493,-30,low,False,False,False
10.1002_adma.201302660__sample_14496,-30,low,False,False,False
10.1002_adma.201302660__sample_14498,-30,low,False,False,False
10.1002_adma.201400515__sample_7652,80,A,False,True,False
10.1002_adma.201400515__sample_7653,130,A,True,True,False
10.1002_adma.201400515__sample_7654,165,A,True,True,False
10.1002_adma.201500110__sample_19708,30,C,False,False,False
10.1002_adma.201500110__sample_19709,10,review,False,False,False
10.1002_adma.201501030__sample_42634,80,A,True,True,False
10.1002_adma.201501030__sample_42635,90,A,False,True,False
10.1002_adma.201501030__sample_42636,25,C,False,True,False
10.1002_adma.201501970__sample_6417,110,A,False,True,False
10.1002_adma.201505922__sample_32232,100,A,False,True,False
10.1002_adma.201605887__sample_2944,-30,low,False,False,False
10.1002_adma.201605887__sample_2945,-30,low,False,False,False
10.1002_adma.201605887__sample_2946,-30,low,False,False,False
10.1002_adma.201605887__sample_2947,-30,low,False,False,False
10.1002_adma.201605887__sample_2948,-30,low,False,False,False
10.1002_adma.201605887__sample_2949,-30,low,False,False,False
10.1002_adma.201605887__sample_2950,-30,low,False,False,False
10.1002_adma.201605887__sample_2951,-30,low,False,False,False
10.1002_adma.201605887__sample_2968,-30,low,False,False,False
10.1002_adma.201605887__sample_2969,-30,low,False,False,False
10.1002_adma.201605887__sample_2970,-30,low,False,False,False
10.1002_adma.201605887__sample_2971,-30,low,False,False,False
10.1002_adma.201605887__sample_2973,-30,low,False,False,False
10.1002_adma.201605887__sample_2974,-30,low,False,False,False
10.1002_adma.201705942__sample_31967,-20,low,False,False,False
10.1002_adma.201705942__sample_31968,90,A,True,True,False
10.1002_adma.201705942__sample_31969,130,A,True,True,False
10.1002_adma.201705942__sample_31970,105,A,True,True,False
10.1002_adma.201705942__sample_31971,130,A,True,True,False
10.1002_adma.201705942__sample_31972,130,A,True,True,False
10.1002_adma.201705942__sample_31973,130,A,True,True,False
10.1002_adma.201705942__sample_31974,130,A,True,True,False
10.1002_adma.201800881__sample_83334,-30,low,False,False,False
10.1002_adma.201800881__sample_83335,-30,low,False,False,False
10.1002_adma.201800881__sample_83336,-30,low,False,False,False
10.1002_adma.201800881__sample_83338,-30,low,False,False,False
10.1002_adma.201800881__sample_83341,-30,low,False,False,False
10.1002_adma.201800881__sample_83342,-30,low,False,False,False
10.1002_adma.201800881__sample_83343,-30,low,False,False,False
10.1002_adma.201903387__sample_27625,-30,low,False,False,False
10.1002_adma.201903387__sample_27626,-30,low,False,False,False
10.1002_adma.201903387__sample_27627,-30,low,False,False,False
10.1002_adma.201903387__sample_27628,-30,low,False,False,False
10.1002_adma.201903387__sample_27629,-30,low,False,False,False
10.1002_adma.201903387__sample_27668,-30,low,False,False,False
10.1002_adma.201903387__sample_27669,-30,low,False,False,False
10.1002_adma.201903387__sample_27671,-30,low,False,False,False
10.1002_adma.201903387__sample_27675,-30,low,False,False,False
10.1002_adma.201903387__sample_27677,-30,low,False,False,False
10.1002_adma.201903387__sample_27680,-30,low,False,False,False
10.1002_adma.202005612__sample_42028,-30,low,False,False,False
10.1002_adma.202005612__sample_42029,-30,low,False,False,False
10.1002_adma.202005612__sample_42030,-30,low,False,False,False
10.1002_adma.202005612__sample_42031,-30,low,False,False,False
10.1002_adma.202005612__sample_42032,-30,low,False,False,False
10.1002_adma.202102575__sample_46214,20,review,False,False,False
10.1002_adma.202102575__sample_46215,60,B,True,False,False
10.1002_adma.202102575__sample_46216,35,C,True,False,False
10.1002_adma.202102575__sample_46217,110,A,True,True,False
10.1002_adma.202102575__sample_46218,110,A,True,True,False
10.1002_adma.202102575__sample_46219,110,A,True,True,False
10.1002_adma.202102575__sample_46229,10,review,True,False,False
10.1002_adma.202102575__sample_46230,35,C,True,False,False
10.1002_adma.202102575__sample_46231,35,C,True,False,False
10.1002_adma.202310480__sample_83873,100,A,False,True,False
10.1002_adma.202310480__sample_83874,100,A,False,True,False
10.1002_adma.202310480__sample_83875,100,A,False,True,False
10.1002_admi.201900467__sample_27466,-30,low,False,False,False
10.1002_admi.201900467__sample_27467,-30,low,False,False,False
10.1002_admi.201900467__sample_27468,-30,low,False,False,False
10.1002_admi.201900467__sample_27469,-30,low,False,False,False
10.1002_admi.201900467__sample_27470,-30,low,False,False,False
10.1002_advs.201600035__sample_31640,10,review,True,False,False
10.1002_advs.201600035__sample_31641,30,C,True,False,False
10.1002_advs.201600035__sample_31642,60,B,True,False,False
10.1002_advs.201600035__sample_31643,60,B,True,False,False
10.1002_advs.201700727__sample_11297,-15,low,False,False,False
10.1002_advs.201700727__sample_11298,-15,low,False,False,False
10.1002_advs.201700727__sample_11299,-40,low,False,False,False
10.1002_advs.201700727__sample_11300,10,review,False,True,False
10.1002_advs.201700727__sample_11301,10,review,False,True,False
10.1002_advs.201800278__sample_15613,20,review,False,False,False
10.1002_advs.201800278__sample_15614,-30,low,False,False,False
10.1002_advs.201800278__sample_15615,-30,low,False,False,False
10.1002_advs.201800278__sample_15616,-30,low,False,False,False
10.1002_advs.201800278__sample_15617,-30,low,False,False,False
10.1002_advs.201800278__sample_15618,-30,low,False,False,False
10.1002_advs.201903493__sample_38383,-30,low,False,False,False
10.1002_advs.201903493__sample_38388,-30,low,False,False,False
10.1002_advs.201903493__sample_38389,-30,low,False,False,False
10.1002_advs.201903493__sample_38391,-30,low,False,False,False
10.1002_advs.201903493__sample_38392,-30,low,False,False,False
10.1002_advs.201903493__sample_38399,-30,low,False,False,False
10.1002_advs.201903493__sample_38400,-30,low,False,False,False
10.1002_advs.201903493__sample_38401,-30,low,False,False,False
10.1002_advs.201903493__sample_38402,-30,low,False,False,False
10.1002_advs.201903493__sample_38403,-30,low,False,False,False
10.1002_advs.201903493__sample_38404,-30,low,False,False,False
10.1002_advs.201903493__sample_38418,-30,low,False,False,False
10.1002_advs.201903493__sample_38419,-30,low,False,False,False
10.1002_advs.201903493__sample_38420,-30,low,False,False,False
10.1002_advs.201903493__sample_38429,-30,low,False,False,False
10.1002_advs.201903493__sample_38430,-30,low,False,False,False
10.1002_aelm.201600019__sample_3207,-30,low,False,False,False
10.1002_aelm.201600019__sample_3208,-30,low,False,False,False
10.1002_aelm.201600019__sample_3209,-30,low,False,False,False
10.1002_aelm.201600019__sample_3210,-30,low,False,False,False
10.1002_aelm.201600171__sample_42883,30,C,False,False,False
10.1002_aelm.201600171__sample_42884,30,C,False,False,False
10.1002_aelm.201600171__sample_42885,30,C,False,False,False
10.1002_aelm.201600171__sample_42886,30,C,False,False,False
10.1002_aelm.201600171__sample_42887,30,C,False,False,False
10.1002_aelm.201600171__sample_42888,30,C,False,False,False
10.1002_aelm.201700223__sample_41732,-30,low,False,False,False
10.1002_aelm.201700223__sample_41738,-30,low,False,False,False
10.1002_aelm.201900166__sample_27761,30,C,False,False,False
10.1002_aelm.201901178__sample_35288,110,A,True,True,False
10.1002_aelm.201901178__sample_35290,110,A,True,True,False
10.1002_aelm.201901178__sample_35291,110,A,True,True,False
10.1002_aelm.201901178__sample_35293,110,A,True,True,False
10.1002_aelm.201901178__sample_35301,20,review,False,True,False
10.1002_aelm.201901178__sample_35302,70,B,False,True,False
10.1002_aelm.201901178__sample_35303,70,B,False,True,False
10.1002_aelm.201901178__sample_35304,20,review,False,True,False
10.1002_aelm.201901178__sample_35305,45,C,False,True,False
10.1002_aelm.201901391__sample_34787,70,B,False,True,False
10.1002_aelm.201901391__sample_34788,110,A,True,True,False
10.1002_aelm.201901391__sample_34789,110,A,True,True,False
10.1002_aelm.201901391__sample_34790,110,A,True,True,False
10.1002_aelm.201901391__sample_34791,110,A,True,True,False
10.1002_aelm.201901391__sample_34793,110,A,True,True,False
10.1002_aelm.201901391__sample_34795,110,A,True,True,False
10.1002_aelm.201901391__sample_34796,110,A,True,True,False
10.1002_aelm.202000083__sample_38358,-30,low,False,False,False
10.1002_aelm.202000083__sample_38359,-30,low,False,False,False
10.1002_aelm.202000083__sample_38360,-30,low,False,False,False
10.1002_aelm.202000910__sample_42134,20,review,False,True,False
10.1002_aelm.202000910__sample_42135,20,review,False,True,False
10.1002_aelm.202000910__sample_42136,20,review,False,True,False
10.1002_aelm.202000910__sample_42137,20,review,False,True,False
10.1002_aelm.202000910__sample_42138,20,review,False,True,False
10.1002_aelm.202000910__sample_42139,20,review,False,True,False
10.1002_aelm.202000910__sample_42140,20,review,False,True,False
10.1002_aelm.202000910__sample_42141,20,review,False,True,False
10.1002_aelm.202100173__sample_44672,110,A,True,True,False
10.1002_aelm.202100173__sample_44673,110,A,True,True,False
10.1002_aelm.202100173__sample_44674,110,A,True,True,False
10.1002_aelm.202100173__sample_44675,85,A,True,True,False
10.1002_aenm.201000072__sample_15208,20,review,False,True,False
10.1002_aenm.201000072__sample_15209,80,A,True,True,False
10.1002_aenm.201000072__sample_15210,60,B,True,True,False
10.1002_aenm.201000072__sample_15211,20,review,False,True,False
