rank_step25,sample_key,composition,material_system,n_or_p,sintering_check_reason,zt_obs_max,zt_pred_ML_max,zt_pred_fitting_max,candidate_score,candidate_tier,sintering_method_final_step17,sintering_checked_final_step17,DOI,paper_title,doi_url
12,10.1039_c7ee00098g__sample_31368,Mg3.15Nb0.05Sb1.5Bi0.49Te0.01,unknown,n,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.461538,1.5508965725173545,1.2606045195475768,130,A,,no,10.1039/c7ee00098g,,https://doi.org/10.1039/c7ee00098g
13,10.1016_j.mtphys.2021.100497__sample_45592,Ge0.87Al0.03Sb0.1Te,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,2.059835,1.4884978514106773,1.9738012272711585,130,A,,no,10.1016/j.mtphys.2021.100497,,https://doi.org/10.1016/j.mtphys.2021.100497
14,10.1039_c7ee00098g__sample_31367,Mg3.19Nb0.01Sb1.5Bi0.49Te0.01,unknown,n,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.430769,1.4296561650821598,1.0714033844294255,130,A,,no,10.1039/c7ee00098g,,https://doi.org/10.1039/c7ee00098g
15,10.1134_s0020168520080063__sample_41825,PbTe0.96I0.04,unknown,n,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.338657,2.175965662713175,2.473430308157221,130,A,,no,10.1134/s0020168520080063,,https://doi.org/10.1134/s0020168520080063
16,10.1039_c6ra06688g__sample_9097,Bi0.4Sb1.6Te3,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.235665,1.2274277501996154,1.163936441867364,130,A,,no,10.1039/c6ra06688g,,https://doi.org/10.1039/c6ra06688g
17,10.1039_c6ra06688g__sample_9098,Bi0.4Sb1.6Te3,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.283168,1.2110828844091983,1.2230358768368077,130,A,,no,10.1039/c6ra06688g,,https://doi.org/10.1039/c6ra06688g
18,10.1039_c6ra06688g__sample_9099,Bi0.4Sb1.6Te3,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.288673,1.2047375852453777,1.203731848963233,130,A,,no,10.1039/c6ra06688g,,https://doi.org/10.1039/c6ra06688g
19,10.1016_j.mtphys.2021.100497__sample_45591,Ge0.88Al0.02Sb0.1Te,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.84663,1.8074239630651143,1.8938734815880467,130,A,,no,10.1016/j.mtphys.2021.100497,,https://doi.org/10.1016/j.mtphys.2021.100497
20,10.1016_j.mtphys.2021.100497__sample_45597,Ge0.745Al0.015Pb0.1Sb0.1Te,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,2.156121,3.463022729784889,1.6525942245025231,130,A,,no,10.1016/j.mtphys.2021.100497,,https://doi.org/10.1016/j.mtphys.2021.100497
21,10.1002_adma.201705942__sample_31974,Ge 0.888Sb0.1In0.012Te,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,2.042229,2.6934070619486987,1.5596266671529255,130,A,,no,10.1002/adma.201705942,,https://doi.org/10.1002/adma.201705942
22,10.1016_j.mtphys.2021.100497__sample_45598,Ge0.74Al0.02Pb0.1Sb0.1Te,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,2.22971,2.257687331665966,1.852100112319748,130,A,,no,10.1016/j.mtphys.2021.100497,,https://doi.org/10.1016/j.mtphys.2021.100497
23,10.1016_j.mtphys.2021.100497__sample_45599,Ge0.73Al0.03Pb0.1Sb0.1Te,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,2.069919,1.5396498653687234,1.5735048539443552,130,A,,no,10.1016/j.mtphys.2021.100497,,https://doi.org/10.1016/j.mtphys.2021.100497
24,10.1016_j.mtphys.2021.100497__sample_45600,Ge0.72Al0.04Pb0.1Sb0.1Te,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.114168,1.135161177476659,1.4043345125410471,130,A,,no,10.1016/j.mtphys.2021.100497,,https://doi.org/10.1016/j.mtphys.2021.100497
25,10.1016_j.ceramint.2020.03.029__sample_33351,Bi2Te3,unknown,n,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.019663,1.00477947603541,1.4188376594127925,130,A,,no,10.1016/j.ceramint.2020.03.029,,https://doi.org/10.1016/j.ceramint.2020.03.029
26,10.1016_j.nanoen.2015.07.012__sample_14067,Cu2Se,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.822264,3.9737412958220326,3.5572309907434425,130,A,,no,10.1016/j.nanoen.2015.07.012,,https://doi.org/10.1016/j.nanoen.2015.07.012
27,10.1016_j.nanoen.2020.104740__sample_33423,Ge0.93Ti0.03Sb0.04Te,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.600878,1.355452512460341,2.261015823039628,130,A,,no,10.1016/j.nanoen.2020.104740,,https://doi.org/10.1016/j.nanoen.2020.104740
28,10.1016_j.nanoen.2020.104740__sample_33424,Ge0.91Ti0.03Sb0.06Te,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.958661,1.66547047834953,2.128261800731428,130,A,,no,10.1016/j.nanoen.2020.104740,,https://doi.org/10.1016/j.nanoen.2020.104740
29,10.1016_j.nanoen.2020.104740__sample_33425,Ge0.89Ti0.03Sb0.08Te,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,2.185198,2.2223408802034865,1.9768637486760747,130,A,,no,10.1016/j.nanoen.2020.104740,,https://doi.org/10.1016/j.nanoen.2020.104740
30,10.1016_j.physb.2019.411797__sample_35161,Pb1.3Se,unknown,n,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.230895,1.3116214709687215,1.0247945170459687,130,A,,no,10.1016/j.physb.2019.411797,,https://doi.org/10.1016/j.physb.2019.411797
31,10.1016_j.scriptamat.2018.05.026__sample_39768,Bi0.4Sb1.59Ge0.01Te3,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.478817,1.505397821872251,1.3750328876279718,130,A,,no,10.1016/j.scriptamat.2018.05.026,,https://doi.org/10.1016/j.scriptamat.2018.05.026
32,10.1016_j.scriptamat.2018.05.026__sample_39769,Bi0.4Sb1.585Ge0.015Te3,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.336809,1.08277013010528,1.0827154779523036,130,A,,no,10.1016/j.scriptamat.2018.05.026,,https://doi.org/10.1016/j.scriptamat.2018.05.026
33,10.1016_j.scriptamat.2018.09.015__sample_41873,Co4Sb11.5Te0.5,unknown,n,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.200355,1.068724099058731,1.442332288318858,130,A,,no,10.1016/j.scriptamat.2018.09.015,,https://doi.org/10.1016/j.scriptamat.2018.09.015
34,10.1016_j.scriptamat.2019.09.009__sample_35184,Cu2Se,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.053398,1.603586283351396,1.1881956730437415,130,A,,no,10.1016/j.scriptamat.2019.09.009,,https://doi.org/10.1016/j.scriptamat.2019.09.009
35,10.1016_j.scriptamat.2019.09.009__sample_35185,Cu2Se,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.56068,2.4678981093674763,1.684580257750521,130,A,,no,10.1016/j.scriptamat.2019.09.009,,https://doi.org/10.1016/j.scriptamat.2019.09.009
36,10.1126_science.1156446__sample_9107,Bi8Sb44Te48,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.430189,1.080426115390007,1.4970387059232682,130,A,,no,10.1126/science.1156446,,https://doi.org/10.1126/science.1156446
37,10.1002_adma.201705942__sample_31972,Ge0.893Sb0.1In0.007Te,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.989443,2.3302429759677814,1.7335870773932274,130,A,,no,10.1002/adma.201705942,,https://doi.org/10.1002/adma.201705942
38,10.1002_adma.201705942__sample_31973,Ge0.89Sb0.1In0.01Te,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,2.276833,2.497773949566896,1.786887955007842,130,A,,no,10.1002/adma.201705942,,https://doi.org/10.1002/adma.201705942
39,10.1063_1.4984914__sample_49635,(Bi2Te3)0.25(Sb2Te3)0.75,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.124518,1.0079344905480303,1.1306869039590322,130,A,,no,10.1063/1.4984914,,https://doi.org/10.1063/1.4984914
40,10.1002_anie.201402026__sample_30770,Bi0.53Sb1.5Te3,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.208062,1.270274481985099,1.301246768537643,130,A,,no,10.1002/anie.201402026,,https://doi.org/10.1002/anie.201402026
41,10.1002_anie.201402026__sample_30771,Bi0.6Sb1.5Te3,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.17937,1.3394100835402605,1.3902172676321298,130,A,,no,10.1002/anie.201402026,,https://doi.org/10.1002/anie.201402026
42,10.1039_c8ta08238c__sample_40610,(Bi0.5Sb1.5Te3)87.21(Sb2O3)12.79,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.497599,1.072573083999176,1.414720861992444,130,A,,no,10.1039/c8ta08238c,,https://doi.org/10.1039/c8ta08238c
43,10.1039_c8ta08238c__sample_40609,(Bi0.5Sb1.5Te3)91.26(Sb2O3)8.74,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.52305,1.0737410362320663,1.4480869948882271,130,A,,no,10.1039/c8ta08238c,,https://doi.org/10.1039/c8ta08238c
44,10.1039_c6ra06688g__sample_9082,Bi0.4Sb1.6Te3,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.282962,1.1028113353222202,1.196360720540687,130,A,,no,10.1039/c6ra06688g,,https://doi.org/10.1039/c6ra06688g
45,10.1039_d4ee01652a__sample_83923,Bi0.4Sb1.6Te3,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.156,1.5574893196942632,1.7910272463883956,130,A,,no,10.1039/d4ee01652a,,https://doi.org/10.1039/d4ee01652a
46,10.1039_c6ra06688g__sample_9086,Bi0.4Sb1.6Te3,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.17893,1.6377464204679584,1.1379892108702916,130,A,,no,10.1039/c6ra06688g,,https://doi.org/10.1039/c6ra06688g
47,10.1016_j.mtphys.2021.100444__sample_45587,(Ge0.9Sb0.1Te)0.985(FeTe2)0.015,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.928685,1.4329788027243235,1.7942304726698377,130,A,,no,10.1016/j.mtphys.2021.100444,,https://doi.org/10.1016/j.mtphys.2021.100444
48,10.1039_c6ra06688g__sample_9087,Bi0.4Sb1.6Te3,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.273199,1.1278258635261116,1.1809341458051226,130,A,,no,10.1039/c6ra06688g,,https://doi.org/10.1039/c6ra06688g
49,10.1039_c6ra06688g__sample_9088,Bi0.4Sb1.6Te3,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.286167,1.209040313026416,1.2215409017990535,130,A,,no,10.1039/c6ra06688g,,https://doi.org/10.1039/c6ra06688g
50,10.1039_c8ee03162b__sample_39800,Sn0.57Sb0.13Ge0.3Te,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.252046,1.1354648562586942,1.849234383745033,130,A,,no,10.1039/c8ee03162b,,https://doi.org/10.1039/c8ee03162b
51,10.1039_c6ra06688g__sample_9090,Bi0.4Sb1.6Te3,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.248703,1.898462795461608,1.1933608836100649,130,A,,no,10.1039/c6ra06688g,,https://doi.org/10.1039/c6ra06688g
52,10.1039_c7ee00098g__sample_31370,Mg3.05Nb0.15Sb1.5Bi0.49Te0.01,unknown,n,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.530769,2.8622617239223462,2.185983228528951,130,A,,no,10.1039/c7ee00098g,,https://doi.org/10.1039/c7ee00098g
53,10.1039_c7ee00098g__sample_31369,Mg3.1Nb0.1Sb1.5Bi0.49Te0.01,unknown,n,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.053846,1.4440615634846388,1.0998122215145223,130,A,,no,10.1039/c7ee00098g,,https://doi.org/10.1039/c7ee00098g
54,10.1002_anie.201402026__sample_30769,Bi0.5Sb1.5Te3,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.155275,1.372310578889082,1.0158272906201875,130,A,,no,10.1002/anie.201402026,,https://doi.org/10.1002/anie.201402026
55,10.1002_aenm.201601450__sample_3190,PbTe0.75Se0.25TeNa0.02(SrTe)0.04,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,2.064717,1.706568289384662,3.2112954216055254,130,A,,no,10.1002/aenm.201601450,,https://doi.org/10.1002/aenm.201601450
56,10.1039_c9nr09331a__sample_35381,Sn1.03Te(BiCuSeO)0.028,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.170556,1.529792235288182,2.2032031699618893,130,A,,no,10.1039/c9nr09331a,,https://doi.org/10.1039/c9nr09331a
57,10.1039_c9nr09331a__sample_35382,Sn1.03Te(BiCuSeO)0.035,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.209444,1.48870771622702,1.9905972519916328,130,A,,no,10.1039/c9nr09331a,,https://doi.org/10.1039/c9nr09331a
58,10.1039_c6ra06688g__sample_9091,Bi0.4Sb1.6Te3,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.249408,1.1740689995157572,1.163253870088382,130,A,,no,10.1039/c6ra06688g,,https://doi.org/10.1039/c6ra06688g
59,10.1039_c6ra06688g__sample_9085,Bi0.4Sb1.6Te3,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.28319,2.1023456473174167,1.238826600515764,130,A,,no,10.1039/c6ra06688g,,https://doi.org/10.1039/c6ra06688g
60,10.1039_c6ra06688g__sample_9092,Bi0.4Sb1.6Te3,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.286291,1.2084479430616228,1.2181484213807408,130,A,,no,10.1039/c6ra06688g,,https://doi.org/10.1039/c6ra06688g
61,10.1039_c6ra06688g__sample_9094,Bi0.4Sb1.6Te3,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.283361,2.0921662906147014,1.2269597182204777,130,A,,no,10.1039/c6ra06688g,,https://doi.org/10.1039/c6ra06688g
62,10.1039_c6ra06688g__sample_9101,Bi0.4Sb1.6Te3,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.346203,1.8460048711552128,1.2699474385520442,130,A,,no,10.1039/c6ra06688g,,https://doi.org/10.1039/c6ra06688g
63,10.1063_1.4984914__sample_49636,((Bi2Te3)0.25(Sb2Te3)0.75)90.01(ZrO2)9.99,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.349766,1.576968917208926,1.254411876649966,130,A,,no,10.1063/1.4984914,,https://doi.org/10.1063/1.4984914
64,10.1039_c6ra06688g__sample_9102,Bi0.4Sb1.6Te3,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.248561,2.133575994730146,1.2178291367277756,130,A,,no,10.1039/c6ra06688g,,https://doi.org/10.1039/c6ra06688g
65,10.1002_adma.201705942__sample_31969,Ge0.9Sb0.1Te,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.725513,1.4756327306193575,1.6180158083914955,130,A,,no,10.1002/adma.201705942,,https://doi.org/10.1002/adma.201705942
66,10.1002_adma.201400515__sample_7653,Cu1.98S,unknown,p,downstream ML prediction is not unbiased evaluation; structure unknown; additive unknown; sintering unknown; ML much worse than fitting,1.362581,2.3911354386584924,0.5571696810831649,130,A,unknown,no,10.1002/adma.201400515,,https://doi.org/10.1002/adma.201400515
67,10.1039_c6ra06688g__sample_9100,Bi0.4Sb1.6Te3,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.238753,1.8994801348469228,1.1911771716694948,130,A,,no,10.1039/c6ra06688g,,https://doi.org/10.1039/c6ra06688g
68,10.1063_1.4984914__sample_49637,((Bi2Te3)0.25(Sb2Te3)0.75)81.53(ZrO2)18.47,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.269719,1.7999123763750875,1.2545863379771864,130,A,,no,10.1063/1.4984914,,https://doi.org/10.1063/1.4984914
69,10.1002_adma.201705942__sample_31971,Ge0.895Sb0.1In0.005Te,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.790029,1.862244012654489,1.5642273922196772,130,A,,no,10.1002/adma.201705942,,https://doi.org/10.1002/adma.201705942
70,10.1088_0957-4484_23_41_415604__sample_29812,Bi0.5Sb1.5Te3,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.36219,1.1154059628238693,1.2695026862616663,130,A,,no,10.1088/0957-4484/23/41/415604,,https://doi.org/10.1088/0957-4484/23/41/415604
71,10.1016_j.scriptamat.2019.09.009__sample_35186,Cu2Se,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.606796,2.4268696019774096,1.7328557539339684,130,A,,no,10.1016/j.scriptamat.2019.09.009,,https://doi.org/10.1016/j.scriptamat.2019.09.009
72,10.1016_j.mtphys.2021.100444__sample_45588,(Ge0.9Sb0.1Te)0.98(FeTe2)0.02,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.826325,1.161836730536297,1.6282647710276823,130,A,,no,10.1016/j.mtphys.2021.100444,,https://doi.org/10.1016/j.mtphys.2021.100444
73,10.1016_j.mtphys.2021.100444__sample_45585,(Ge0.9Sb0.1Te)0.995(FeTe2)0.005,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.801592,1.322548475960904,1.387183482555912,130,A,,no,10.1016/j.mtphys.2021.100444,,https://doi.org/10.1016/j.mtphys.2021.100444
74,10.1007_s11664-019-07745-y__sample_32524,Ni/Bi0.5Sb1.5Te3,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.049448,1.7798086268614666,1.0426063258508786,130,A,,no,10.1007/s11664-019-07745-y,,https://doi.org/10.1007/s11664-019-07745-y
75,10.1021_acsaem.1c02589__sample_46136,Pb0.99Sb0.01Te,unknown,n,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.129555,1.904690235858565,1.7805634698572748,130,A,,no,10.1021/acsaem.1c02589,,https://doi.org/10.1021/acsaem.1c02589
76,10.1021_acs.chemmater.7b04023__sample_31998,Ge0.85Bi0.05Sb0.10Te,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.758491,1.3371227833618191,1.4503022938196657,130,A,,no,10.1021/acs.chemmater.7b04023,,https://doi.org/10.1021/acs.chemmater.7b04023
77,10.1021_acs.chemmater.7b04023__sample_31997,Ge0.88Bi0.02Sb0.10Te,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.373585,1.664937698353403,1.0466311695309527,130,A,,no,10.1021/acs.chemmater.7b04023,,https://doi.org/10.1021/acs.chemmater.7b04023
78,10.1021_acs.chemmater.7b04023__sample_31993,Ge0.90Sb0.10Te,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.78566,1.237581314218317,1.7717421755270673,130,A,,no,10.1021/acs.chemmater.7b04023,,https://doi.org/10.1021/acs.chemmater.7b04023
79,10.1007_s11664-019-07745-y__sample_32581,Ni/Bi0.5Sb1.5Te3,unknown,p,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.075657,1.8029297399150088,1.075610054160922,130,A,,no,10.1007/s11664-019-07745-y,,https://doi.org/10.1007/s11664-019-07745-y
80,10.1021_jacs.6b09568__sample_44732,(K2Bi8Se13)91.83(BiCl3)8.17,unknown,n,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.137768,1.6650042333261743,1.453093156289082,130,A,,no,10.1021/jacs.6b09568,,https://doi.org/10.1021/jacs.6b09568
