rank_step25,sample_key,composition,material_system,n_or_p,review_priority_score,review_reason,primary_error_source_hypothesis,zt_obs_max,zt_pred_ML_max,candidate_tier,check_additive,check_structure,check_np_type,check_sintering,DOI,paper_title,doi_url
16,10.1039_c4ta01380h__sample_82195,ZrNiSn,,n,150,ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,,0.183,361.1011628531853,A,,,,,10.1039/c4ta01380h,,https://doi.org/10.1039/c4ta01380h
17,10.1039_c4ta01380h__sample_82196,Zr9Ni7Sn8,,n,150,ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,,0.3214,101.95067880831938,A,,,,,10.1039/c4ta01380h,,https://doi.org/10.1039/c4ta01380h
18,10.1039_c5ta01667c__sample_7224,Cu1.97S,,p,145,observed ZT >= threshold; ML predicted ZT >= threshold; low thermal conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,,1.89418,6.02044003986307,A,,,,,10.1039/c5ta01667c,,https://doi.org/10.1039/c5ta01667c
19,10.1109_ict.2005.1519880__sample_24217,TiO1.1,,p,145,observed ZT >= threshold; ML predicted ZT >= threshold; low thermal conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,,1.543128,1.2277392673317538,A,,,,,10.1109/ict.2005.1519880,,https://doi.org/10.1109/ict.2005.1519880
20,10.34133_2020_5016564__sample_38161,(Ca0.75Ba0.25)0.995Na0.005Mg2Bi1.98,,p,140,observed ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; toxicity attention elements not detected; balanced recommended candidate,,1.17717,0.8331242222192882,A,,,,,10.34133/2020/5016564,,https://doi.org/10.34133/2020/5016564
21,10.1039_c4ee02428a__sample_6759,(Cu8S4)0.8(Cu5Fe2S4)0.2,,p,140,observed ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,,1.190178,,A,,,,,10.1039/c4ee02428a,,https://doi.org/10.1039/c4ee02428a
22,10.1063_1.2163979__sample_2240,Ba8Ga16Ge30,,n,140,observed ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; toxicity attention elements not detected; balanced recommended candidate,,1.12547,0.6654664573695621,A,,,,,10.1063/1.2163979,,https://doi.org/10.1063/1.2163979
23,10.1021_acsaem.7b00128__sample_45664,Mg2Si0.4Sn0.6,,n,140,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; high observed electrical conductivity; high ML predicted electrical conductivity; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,,1.377019,1.0556650258862084,A,,,,,10.1021/acsaem.7b00128,,https://doi.org/10.1021/acsaem.7b00128
24,10.34133_2020_5016564__sample_38160,Ca0.995Na0.005Mg2Bi1.98,,p,140,observed ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; toxicity attention elements not detected; balanced recommended candidate,,1.026367,0.7971103550455412,A,,,,,10.34133/2020/5016564,,https://doi.org/10.34133/2020/5016564
25,10.1016_j.jallcom.2016.09.231__sample_2415,K6Ba18Ga40Sn96,,n,140,observed ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; toxicity attention elements not detected; balanced recommended candidate,,1.160118,0.8683862984672523,A,,,,,10.1016/j.jallcom.2016.09.231,,https://doi.org/10.1016/j.jallcom.2016.09.231
26,10.1021_ja306527n__sample_252,Pb0.975Na0.025Zn0.04S1.04,,p,135,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected,,1.134753,1.8699566591884729,A,,,,,10.1021/ja306527n,,https://doi.org/10.1021/ja306527n
27,10.1002_adfm.202102185__sample_45228,Pb0.99Cu0.01SCu0.01,,p,135,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected,,1.16774,2.528359088669635,A,,,,,10.1002/adfm.202102185,,https://doi.org/10.1002/adfm.202102185
28,10.1021_ja306527n__sample_242,Pb0.975Na0.025Cd0.03S1.03,,p,135,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected,,1.295793,1.5509841426864386,A,,,,,10.1021/ja306527n,,https://doi.org/10.1021/ja306527n
29,10.1021_ja306527n__sample_171,Pb0.975Na0.025Zn0.02S1.02,,p,135,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected,,1.053225,1.2745657871238698,A,,,,,10.1021/ja306527n,,https://doi.org/10.1021/ja306527n
30,10.1021_ja306527n__sample_156,Pb0.975Na0.025Zn0.03S1.03,,p,135,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected,,1.188537,1.590152458338557,A,,,,,10.1021/ja306527n,,https://doi.org/10.1021/ja306527n
31,10.1021_jacs.0c00306__sample_34999,Pb0.98Sn0.02S,,n,135,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected,,1.063107,2.010939304575152,A,,,,,10.1021/jacs.0c00306,,https://doi.org/10.1021/jacs.0c00306
32,10.1021_ja301772w__sample_7383,Pb0.975Na0.025S(SrS)0.03,,p,135,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected,,1.223766,1.4278858430713477,A,,,,,10.1021/ja301772w,,https://doi.org/10.1021/ja301772w
33,10.1021_ja301772w__sample_7370,Pb0.975Na0.025S(SrS)0.03,,p,135,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected,,1.129997,1.4176366186791634,A,,,,,10.1021/ja301772w,,https://doi.org/10.1021/ja301772w
34,10.1021_ja306527n__sample_357,Pb0.975Na0.025Cd0.02S1.02,,p,135,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected,,1.180259,1.2082381209198672,A,,,,,10.1021/ja306527n,,https://doi.org/10.1021/ja306527n
35,10.1021_ja306527n__sample_418,Pb0.975Na0.025Cd0.01S1.01,,p,135,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected,,1.06246,1.0381295663381458,A,,,,,10.1021/ja306527n,,https://doi.org/10.1021/ja306527n
36,10.1021_ja306527n__sample_155,Pb0.975Na0.025Sr0.03S1.03,,p,135,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected,,1.145823,1.519300475681221,A,,,,,10.1021/ja306527n,,https://doi.org/10.1021/ja306527n
37,10.1021_jacs.0c00306__sample_35000,Pb0.96Sn0.04S,,n,135,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected,,1.048544,1.5825840331174523,A,,,,,10.1021/jacs.0c00306,,https://doi.org/10.1021/jacs.0c00306
38,10.1016_j.jssc.2019.120995__sample_44203,(PbS)0.96(SrS)0.03(PbCl2)0.01,,n,135,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected,,1.100894,1.4212436642684587,A,,,,,10.1016/j.jssc.2019.120995,,https://doi.org/10.1016/j.jssc.2019.120995
39,10.1021_jacs.0c00306__sample_35001,Pb0.94Sn0.06S,,n,135,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected,,1.065011,2.3122242290115014,A,,,,,10.1021/jacs.0c00306,,https://doi.org/10.1021/jacs.0c00306
40,10.1016_j.jssc.2019.120995__sample_44189,(PbS)0.96(CaS)0.03(PbCl2)0.01,,n,135,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected,,1.146078,2.152796976548768,A,,,,,10.1016/j.jssc.2019.120995,,https://doi.org/10.1016/j.jssc.2019.120995
41,10.1016_j.jssc.2019.120995__sample_44190,(PbS)0.95(CaS)0.04(PbCl2)0.01,,n,135,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected,,1.098858,2.17122643100404,A,,,,,10.1016/j.jssc.2019.120995,,https://doi.org/10.1016/j.jssc.2019.120995
42,10.1016_j.jssc.2019.120995__sample_44202,(PbS)0.97(SrS)0.02(PbCl2)0.01,,n,135,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected,,1.047776,2.070770289907011,A,,,,,10.1016/j.jssc.2019.120995,,https://doi.org/10.1016/j.jssc.2019.120995
43,10.1021_ja301772w__sample_7384,Pb0.975Na0.025S(CaS)0.03,,p,135,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected,,1.153547,1.4762784009830654,A,,,,,10.1021/ja301772w,,https://doi.org/10.1021/ja301772w
44,10.1002_adfm.202102185__sample_45240,Pb0.995Cu0.005SCu0.005,,p,135,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected,,1.037244,1.962887781593112,A,,,,,10.1002/adfm.202102185,,https://doi.org/10.1002/adfm.202102185
45,10.1016_j.jeurceramsoc.2018.03.046__sample_42392,PbCl0.015S0.985,,n,135,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected,,1.039799,1.5898497147831312,A,,,,,10.1016/j.jeurceramsoc.2018.03.046,,https://doi.org/10.1016/j.jeurceramsoc.2018.03.046
46,10.1021_ja306527n__sample_278,Pb0.975Na0.025Cd0.04S1.04,,p,135,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected,,1.119094,1.8612327104351432,A,,,,,10.1021/ja306527n,,https://doi.org/10.1021/ja306527n
47,10.1016_j.jeurceramsoc.2018.03.046__sample_42391,PbCl0.01S0.99,,n,135,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected,,1.007132,1.4493200455270854,A,,,,,10.1016/j.jeurceramsoc.2018.03.046,,https://doi.org/10.1016/j.jeurceramsoc.2018.03.046
48,10.1021_acs.chemmater.7b04023__sample_31997,Ge0.88Bi0.02Sb0.10Te,unknown,p,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,insufficient_material_features,1.373585,1.664937698353403,A,True,True,,True,10.1021/acs.chemmater.7b04023,,https://doi.org/10.1021/acs.chemmater.7b04023
49,10.1039_c1jm10163c__sample_8149,Cu0.07Bi2Te3,unknown,n,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,material_system_out_of_distribution,1.152324,1.2537657871502708,A,True,True,,True,10.1039/c1jm10163c,,https://doi.org/10.1039/c1jm10163c
50,10.1016_j.jallcom.2020.155181__sample_31078,Sn0.69Pb0.3Zn0.01Te,unknown,p,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,material_system_out_of_distribution,1.3455,1.3620795927190776,A,True,True,,True,10.1016/j.jallcom.2020.155181,,https://doi.org/10.1016/j.jallcom.2020.155181
51,10.1039_c8ta08238c__sample_40610,(Bi0.5Sb1.5Te3)87.21(Sb2O3)12.79,unknown,p,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,material_system_out_of_distribution,1.497599,1.072573083999176,A,True,True,,True,10.1039/c8ta08238c,,https://doi.org/10.1039/c8ta08238c
52,10.1039_c8ta08238c__sample_40609,(Bi0.5Sb1.5Te3)91.26(Sb2O3)8.74,unknown,p,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,material_system_out_of_distribution,1.52305,1.0737410362320663,A,True,True,,True,10.1039/c8ta08238c,,https://doi.org/10.1039/c8ta08238c
53,10.1021_acs.chemmater.7b04023__sample_31998,Ge0.85Bi0.05Sb0.10Te,unknown,p,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,material_system_out_of_distribution,1.758491,1.3371227833618191,A,True,True,,True,10.1021/acs.chemmater.7b04023,,https://doi.org/10.1021/acs.chemmater.7b04023
54,10.1021_acs.chemmater.7b04023__sample_31993,Ge0.90Sb0.10Te,unknown,p,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,material_system_out_of_distribution,1.78566,1.237581314218317,A,True,True,,True,10.1021/acs.chemmater.7b04023,,https://doi.org/10.1021/acs.chemmater.7b04023
55,10.1016_j.jallcom.2019.153284__sample_34309,Bi0.5Sb1.5Te3,unknown,p,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,material_system_out_of_distribution,1.170681,1.6341326261048903,A,True,True,,True,10.1016/j.jallcom.2019.153284,,https://doi.org/10.1016/j.jallcom.2019.153284
56,10.1016_j.physb.2019.411797__sample_35161,Pb1.3Se,unknown,n,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,not_evaluable,1.230895,1.3116214709687215,A,True,True,,True,10.1016/j.physb.2019.411797,,https://doi.org/10.1016/j.physb.2019.411797
57,10.1039_c8ee03162b__sample_39800,Sn0.57Sb0.13Ge0.3Te,unknown,p,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,material_system_out_of_distribution,1.252046,1.1354648562586942,A,True,True,,True,10.1039/c8ee03162b,,https://doi.org/10.1039/c8ee03162b
58,10.1016_j.jallcom.2020.158376__sample_39630,(Bi0.3Sb1.7Te3)92.39(TiC)7.61,unknown,p,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,material_system_out_of_distribution,1.139484,1.0043708515020542,A,True,True,,True,10.1016/j.jallcom.2020.158376,,https://doi.org/10.1016/j.jallcom.2020.158376
59,10.1039_c6ra06688g__sample_9100,Bi0.4Sb1.6Te3,unknown,p,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,missing_additive_or_structure_annotation,1.238753,1.8994801348469228,A,True,True,,True,10.1039/c6ra06688g,,https://doi.org/10.1039/c6ra06688g
60,10.1016_j.mtphys.2018.05.001__sample_44014,Ag9GaSe5.38Te0.6,unknown,n,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,not_evaluable,1.376961,3.333036771373201,A,True,True,,True,10.1016/j.mtphys.2018.05.001,,https://doi.org/10.1016/j.mtphys.2018.05.001
61,10.1016_j.jpcs.2019.109262__sample_34136,Sb1.65Bi0.35Te3,unknown,p,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,material_system_out_of_distribution,1.149557,1.1271385159578589,A,True,True,,True,10.1016/j.jpcs.2019.109262,,https://doi.org/10.1016/j.jpcs.2019.109262
62,10.1039_c7ee00098g__sample_31370,Mg3.05Nb0.15Sb1.5Bi0.49Te0.01,unknown,n,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,not_evaluable,1.530769,2.8622617239223462,A,True,True,,True,10.1039/c7ee00098g,,https://doi.org/10.1039/c7ee00098g
63,10.1016_j.jallcom.2019.153284__sample_34310,Bi0.5Sb1.5Te3,unknown,p,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,missing_additive_or_structure_annotation,1.269527,2.134415790532956,A,True,True,,True,10.1016/j.jallcom.2019.153284,,https://doi.org/10.1016/j.jallcom.2019.153284
64,10.1039_c0ee00012d__sample_1517,Bi0.5Sb1.5Te3,unknown,p,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,material_system_out_of_distribution,1.247601,1.7500445887292535,A,True,True,,True,10.1039/c0ee00012d,,https://doi.org/10.1039/c0ee00012d
65,10.1088_0957-4484_23_41_415604__sample_29812,Bi0.5Sb1.5Te3,unknown,p,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,material_system_out_of_distribution,1.36219,1.1154059628238693,A,True,True,,True,10.1088/0957-4484/23/41/415604,,https://doi.org/10.1088/0957-4484/23/41/415604
66,10.1039_c6ra06688g__sample_9099,Bi0.4Sb1.6Te3,unknown,p,130,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; balanced recommended candidate,material_system_out_of_distribution,1.288673,1.2047375852453777,A,True,True,,True,10.1039/c6ra06688g,,https://doi.org/10.1039/c6ra06688g
