rank_step25,sample_key,composition,material_system,n_or_p,candidate_tier_step24,candidate_score_step24,candidate_reason_step24,candidate_caution_step24,zt_obs_max_step24,zt_pred_ML_max_step24,zt_pred_fitting_max_step24,zt_calc_from_obs_max_step24,sigma_obs_max_step24,sigma_pred_ML_max_step24,kappa_obs_min_step24,seebeck_abs_max_step24,rare_metal_elements_step24,rare_metal_flag_step24,toxicity_attention_elements_step24,toxicity_attention_flag_step24,is_nanocarbon_candidate_step24,additive_final_step17,structure_final_step17,sintering_method_final_step17,sintering_checked_final_step17,needs_manual_review_step24,needs_sintering_check_step24,DOI,paper_title,doi_url
11,10.1039_d1ta02812j__sample_45509,(Cu2SnS3)0.95(CuCo2S4)0.05,,p,A,150,ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; structure unknown; additive unknown; sintering unknown,0.833967,1.0026132364755127,1.0151655624780236,0.834030602707758,59750.35,59863.2765794217,0.9188571,0.000178637,,False,,False,False,,,,,False,False,10.1039/d1ta02812j,,https://doi.org/10.1039/d1ta02812j
12,10.1016_j.mssp.2019.104848__sample_34636,Cu1.8Na0.038S1.019,,p,A,150,ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; structure unknown; additive unknown; sintering unknown,0.7666856,1.1137024950652077,1.2033092414767292,0.7917396646982892,237889.7,221331.7775881048,0.9925017,0.000101733,,False,,False,False,,,,,False,False,10.1016/j.mssp.2019.104848,,https://doi.org/10.1016/j.mssp.2019.104848
13,10.1039_c4ta01380h__sample_82196,Zr9Ni7Sn8,,n,A,150,ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; structure unknown; additive unknown; sintering unknown,0.3214,101.95067880831938,579.1294547702419,732.5162008450083,153700.0,28964.02312144665,0.0004571,0.00010261,,False,,False,False,,,,,False,False,10.1039/c4ta01380h,,https://doi.org/10.1039/c4ta01380h
14,10.1039_c4ta01380h__sample_82195,ZrNiSn,,n,A,150,ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; structure unknown; additive unknown; sintering unknown,0.183,361.1011628531853,526.9947084343222,574.8246220610804,86950.0,62732.461661996,0.001488,0.00015306,,False,,False,False,,,,,False,False,10.1039/c4ta01380h,,https://doi.org/10.1039/c4ta01380h
15,10.1039_c5ta01667c__sample_7223,Cu2S,,p,A,150,ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; structure unknown; additive unknown; sintering unknown,0.1255448,12.581094759012558,3.2004327049382946,4.479903768566705,18178.73,84916.47144510012,0.3257573,0.0003738338,,False,,False,False,,,,,False,False,10.1039/c5ta01667c,,https://doi.org/10.1039/c5ta01667c
16,10.1016_j.matpr.2019.02.050__sample_39204,Fe0.97Co0.03Si2,,n,A,150,ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; structure unknown; additive unknown; sintering unknown,0.1220138,162.25058569124332,84.82458396330571,124.86983353763738,14384.61,23710.58973370897,0.00538088,0.0003008951,,False,,False,False,,,,,False,False,10.1016/j.matpr.2019.02.050,,https://doi.org/10.1016/j.matpr.2019.02.050
17,10.1016_j.matpr.2019.02.050__sample_39203,Fe0.92Mn0.08Si2,,p,A,150,ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; structure unknown; additive unknown; sintering unknown,0.01587496,192.0175612336544,19.290417342545112,15.992622349985718,15803.91,98200.21115894832,0.00747117,0.0002239729,,False,,False,False,,,,,False,False,10.1016/j.matpr.2019.02.050,,https://doi.org/10.1016/j.matpr.2019.02.050
18,10.1039_c5ta01667c__sample_7224,Cu1.97S,,p,A,145,observed ZT >= threshold; ML predicted ZT >= threshold; low thermal conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; structure unknown; additive unknown; sintering unknown,1.89418,6.02044003986307,0.1733118333599964,0.2107504195074948,2782.609,85485.3280298994,0.3471321,0.0002370761,,False,,False,False,,,,no,True,True,10.1039/c5ta01667c,,https://doi.org/10.1039/c5ta01667c
19,10.1109_ict.2005.1519880__sample_24217,TiO1.1,,p,A,145,observed ZT >= threshold; ML predicted ZT >= threshold; low thermal conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; structure unknown; additive unknown; sintering unknown,1.543128,1.2277392673317538,0.5837148207394245,1.4726503597260654,8985.675,31700.29965189816,1.445161,0.001008116,,False,,False,False,,,,no,True,True,10.1109/ict.2005.1519880,,https://doi.org/10.1109/ict.2005.1519880
20,10.1021_acsaem.7b00128__sample_45664,Mg2Si0.4Sn0.6,,n,A,140,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; high observed electrical conductivity; high ML predicted electrical conductivity; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; structure unknown; additive unknown; sintering unknown,1.377019,1.0556650258862084,1.589308619435177,1.3831805772505708,156806.8,95272.8755180844,2.142433,0.0002193274,,False,,False,False,,,,,False,False,10.1021/acsaem.7b00128,,https://doi.org/10.1021/acsaem.7b00128
21,10.1039_c4ee02428a__sample_6759,(Cu8S4)0.8(Cu5Fe2S4)0.2,,p,A,140,observed ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; structure unknown; additive unknown; sintering unknown,1.190178,,,,14285.35,10423.818958975373,0.47073,0.0002231013,,False,,False,False,,,,,False,False,10.1039/c4ee02428a,,https://doi.org/10.1039/c4ee02428a
22,10.34133_2020_5016564__sample_38161,(Ca0.75Ba0.25)0.995Na0.005Mg2Bi1.98,,p,A,140,observed ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.17717,0.8331242222192882,1.200272737630549,1.1723287687885804,67054.91,44329.0312389843,0.9333868,0.0002278919,Bi,True,,False,False,,,,,False,False,10.34133/2020/5016564,,https://doi.org/10.34133/2020/5016564
23,10.1016_j.jallcom.2016.09.231__sample_2415,K6Ba18Ga40Sn96,,n,A,140,observed ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.160118,0.8683862984672523,1.4550893536354346,1.1664260376994182,73682.4,35720.57036623701,0.7181945,0.0002146533,Ga,True,,False,False,,,,,False,False,10.1016/j.jallcom.2016.09.231,,https://doi.org/10.1016/j.jallcom.2016.09.231
24,10.1063_1.2163979__sample_2240,Ba8Ga16Ge30,,n,A,140,observed ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.12547,0.6654664573695621,1.080509456671827,1.3176676632833817,142526.6,73990.24188442492,1.236228,0.0001749147,Ga;Ge,True,,False,False,,,,,False,False,10.1063/1.2163979,,https://doi.org/10.1063/1.2163979
25,10.34133_2020_5016564__sample_38160,Ca0.995Na0.005Mg2Bi1.98,,p,A,140,observed ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; toxicity attention elements not detected; balanced recommended candidate,downstream ML prediction is not unbiased evaluation; rare metal attention element detected; structure unknown; additive unknown; sintering unknown,1.026367,0.7971103550455412,1.1694998340864315,1.0329597643128772,83028.29,54277.49406979317,1.174157,0.0002149189,Bi,True,,False,False,,,,,False,False,10.34133/2020/5016564,,https://doi.org/10.34133/2020/5016564
26,10.1021_ja306527n__sample_242,Pb0.975Na0.025Cd0.03S1.03,,p,A,135,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; structure unknown; additive unknown; sintering unknown,1.295793,1.5509841426864386,1.739593136130973,1.344970049601394,98490.57,53520.57116096679,0.7366308,0.0002961992,,False,Cd;Pb,True,False,,,,,False,False,10.1021/ja306527n,,https://doi.org/10.1021/ja306527n
27,10.1021_ja301772w__sample_7383,Pb0.975Na0.025S(SrS)0.03,,p,A,135,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; structure unknown; additive unknown; sintering unknown,1.223766,1.4278858430713477,1.2267717923887305,0.8343588358136651,60837.28,47078.294387384536,0.6798561,0.00028685,,False,Pb,True,False,,,,,False,False,10.1021/ja301772w,,https://doi.org/10.1021/ja301772w
28,10.1021_ja306527n__sample_156,Pb0.975Na0.025Zn0.03S1.03,,p,A,135,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; structure unknown; additive unknown; sintering unknown,1.188537,1.590152458338557,1.3852808968069048,1.1216705968275762,71311.48,53517.62488736178,0.751859,0.0002896992,,False,Pb,True,False,,,,,False,False,10.1021/ja306527n,,https://doi.org/10.1021/ja306527n
29,10.1021_ja306527n__sample_357,Pb0.975Na0.025Cd0.02S1.02,,p,A,135,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; structure unknown; additive unknown; sintering unknown,1.180259,1.2082381209198672,1.5318112687572605,1.1581718672598615,110549.5,53555.6605198184,0.9041451,0.0002762779,,False,Cd;Pb,True,False,,,,,False,False,10.1021/ja306527n,,https://doi.org/10.1021/ja306527n
30,10.1002_adfm.202102185__sample_45228,Pb0.99Cu0.01SCu0.01,,p,A,135,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; structure unknown; additive unknown; sintering unknown,1.16774,2.528359088669635,2.3939352818684903,1.14020323586149,167135.8,84257.5116781416,0.8095976,0.0002654346,,False,Pb,True,False,,,,,False,False,10.1002/adfm.202102185,,https://doi.org/10.1002/adfm.202102185
31,10.1021_ja301772w__sample_7384,Pb0.975Na0.025S(CaS)0.03,,p,A,135,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; structure unknown; additive unknown; sintering unknown,1.153547,1.4762784009830654,1.300960988468044,1.0201311359940834,72762.72,49211.87286025459,0.7230216,0.0002868612,,False,Pb,True,False,,,,,False,False,10.1021/ja301772w,,https://doi.org/10.1021/ja301772w
32,10.1016_j.jssc.2019.120995__sample_44189,(PbS)0.96(CaS)0.03(PbCl2)0.01,,n,A,135,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; structure unknown; additive unknown; sintering unknown,1.146078,2.152796976548768,2.139786991242186,1.1548360015772687,101571.7,57115.194195196105,0.7296229,0.000240717,,False,Pb,True,False,,,,,False,False,10.1016/j.jssc.2019.120995,,https://doi.org/10.1016/j.jssc.2019.120995
33,10.1021_ja306527n__sample_155,Pb0.975Na0.025Sr0.03S1.03,,p,A,135,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; structure unknown; additive unknown; sintering unknown,1.145823,1.519300475681221,1.4787359067741792,1.1924499381344724,75283.02,46994.49800274435,0.6890756,0.0002852211,,False,Pb,True,False,,,,,False,False,10.1021/ja306527n,,https://doi.org/10.1021/ja306527n
34,10.1021_ja306527n__sample_252,Pb0.975Na0.025Zn0.04S1.04,,p,A,135,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; structure unknown; additive unknown; sintering unknown,1.134753,1.8699566591884729,1.2427630721252685,1.1199713052697442,48614.62,53641.25863219082,0.6895854,0.0002994158,,False,Pb,True,False,,,,,False,False,10.1021/ja306527n,,https://doi.org/10.1021/ja306527n
35,10.1021_ja301772w__sample_7370,Pb0.975Na0.025S(SrS)0.03,,p,A,135,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; structure unknown; additive unknown; sintering unknown,1.129997,1.4176366186791634,1.3213076156837769,0.9285420510996202,68786.32,46994.49800274435,0.6870504,0.0002783908,,False,Pb,True,False,,,,,False,False,10.1021/ja301772w,,https://doi.org/10.1021/ja301772w
36,10.1021_ja306527n__sample_278,Pb0.975Na0.025Cd0.04S1.04,,p,A,135,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; structure unknown; additive unknown; sintering unknown,1.119094,1.8612327104351432,1.982107585929049,1.3846811496052709,85494.51,53555.6605198184,0.7331606,0.0003087811,,False,Cd;Pb,True,False,,,,,False,False,10.1021/ja306527n,,https://doi.org/10.1021/ja306527n
37,10.1016_j.jssc.2019.120995__sample_44203,(PbS)0.96(SrS)0.03(PbCl2)0.01,,n,A,135,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; structure unknown; additive unknown; sintering unknown,1.100894,1.4212436642684587,1.3280229704569204,0.8275361053910464,135781.6,86687.30781258848,1.038364,0.0002268579,,False,Pb,True,False,,,,,False,False,10.1016/j.jssc.2019.120995,,https://doi.org/10.1016/j.jssc.2019.120995
38,10.1016_j.jssc.2019.120995__sample_44190,(PbS)0.95(CaS)0.04(PbCl2)0.01,,n,A,135,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; structure unknown; additive unknown; sintering unknown,1.098858,2.17122643100404,1.6697095481022108,0.9853337367096884,68387.38,57125.48665744992,0.7084691,0.0002544104,,False,Pb,True,False,,,,,False,False,10.1016/j.jssc.2019.120995,,https://doi.org/10.1016/j.jssc.2019.120995
39,10.1021_jacs.0c00306__sample_35001,Pb0.94Sn0.06S,,n,A,135,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; structure unknown; additive unknown; sintering unknown,1.065011,2.3122242290115014,2.4158605171541314,1.0350425668193777,173326.8,101892.3788867158,1.121153,0.0002325532,,False,Pb,True,False,,,,,False,False,10.1021/jacs.0c00306,,https://doi.org/10.1021/jacs.0c00306
40,10.1021_jacs.0c00306__sample_34999,Pb0.98Sn0.02S,,n,A,135,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; structure unknown; additive unknown; sintering unknown,1.063107,2.010939304575152,2.556361068775274,1.0325762795496751,219586.6,101892.3788867158,1.228235,0.0002270213,,False,Pb,True,False,,,,,False,False,10.1021/jacs.0c00306,,https://doi.org/10.1021/jacs.0c00306
41,10.1021_ja306527n__sample_418,Pb0.975Na0.025Cd0.01S1.01,,p,A,135,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; structure unknown; additive unknown; sintering unknown,1.06246,1.0381295663381458,1.5026728935701408,1.301906676840792,140659.3,53555.6605198184,1.012953,0.0002720839,,False,Cd;Pb,True,False,,,,,False,False,10.1021/ja306527n,,https://doi.org/10.1021/ja306527n
42,10.1021_ja306527n__sample_171,Pb0.975Na0.025Zn0.02S1.02,,p,A,135,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; structure unknown; additive unknown; sintering unknown,1.053225,1.2745657871238698,1.2884272276803264,0.9614227642715654,87054.27,53520.57116096679,0.8336704,0.0002718854,,False,Pb,True,False,,,,,False,False,10.1021/ja306527n,,https://doi.org/10.1021/ja306527n
43,10.1021_jacs.0c00306__sample_35000,Pb0.96Sn0.04S,,n,A,135,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; structure unknown; additive unknown; sintering unknown,1.048544,1.5825840331174523,1.9007586273128505,1.0026717815278336,193503.9,101892.3788867158,1.186243,0.0002151064,,False,Pb,True,False,,,,,False,False,10.1021/jacs.0c00306,,https://doi.org/10.1021/jacs.0c00306
44,10.1016_j.jssc.2019.120995__sample_44202,(PbS)0.97(SrS)0.02(PbCl2)0.01,,n,A,135,observed ZT >= threshold; ML predicted ZT >= threshold; fitting predicted ZT >= threshold; low thermal conductivity; high observed electrical conductivity; high ML predicted electrical conductivity; low kappa and high sigma; rare metal attention elements not detected,downstream ML prediction is not unbiased evaluation; toxicity attention element detected; structure unknown; additive unknown; sintering unknown,1.047776,2.070770289907011,2.211318868630157,0.9570157011600774,156200.9,86687.30781258848,1.018102,0.0002263364,,False,Pb,True,False,,,,,False,False,10.1016/j.jssc.2019.120995,,https://doi.org/10.1016/j.jssc.2019.120995
