sample_key,SID,DOI,sample_id,paper_title,year,composition,material_system,n_or_p,n_or_p_basis,n_or_p_step6,n_or_p_basis_step6,n_or_p_confidence_step6,sintering_method,sintering_checked,record_checked,additive_auto_step9,additive_manual_step9,structure_auto_step9,structure_manual_step9,nanocarbon_keyword_detected_step9,nanocarbon_type_auto_step9,rare_metal_flag_auto_step9,toxicity_flag_auto_step9,fitting_source_preference_step8,fitting_source_actual_step10,sigma_obs_source_step11,tau_eff_step12,log_tau_eff_step12,tau_eff_unit_step12,tau_eff_mode_step12,n_fit_rows_step12,n_fit_temperature_points_step12,temperature_min_fit_step12,temperature_max_fit_step12,temperature_span_fit_step12,sigma_fit_mae_step12,sigma_fit_rmse_step12,sigma_fit_mape_step12,sigma_fit_log_mae_step12,sigma_fit_log_rmse_step12,sigma_fit_r2_log_step12,sigma_fit_bias_log_step12,tau_eff_log_std_step12,tau_eff_geometric_std_factor_step12,tau_eff_train_step12,n_train_rows_step12,n_holdout_rows_step12,sigma_holdout_mae_step12,sigma_holdout_rmse_step12,sigma_holdout_mape_step12,sigma_holdout_log_rmse_step12,sigma_holdout_r2_log_step12,holdout_eval_status_step12,fit_status_step12,fit_note_step12,prefactor_source_step12,seebeck_obs_V_per_K_step11,kappa_obs_W_per_mK_step11,zt_obs_dimensionless_step11,power_factor_obs_W_per_mK2_step11,zt_calc_from_obs_step11,can_eval_power_factor_step11,can_calc_zt_from_obs_step11,can_compare_zt_obs_step11,row_quality_step11,n_prefactor_available_rows_step12,n_prefactor_unavailable_rows_step12,log_tau_eff_train_step12,tau_fit_problem_reason_step12,doi_url
10.1002_adfm.201000970__sample_5873,133,10.1002/adfm.201000970,5873,,,Ca5Al2Sb6,unknown,p,"estimated from Seebeck sign: positive=9, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=9, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,unknown,no,no,unknown,,unknown,,False,unknown,True,True,Electrical resistivity,Electrical resistivity,from_rho,0.011412814356144172,-4.473018488542777,relative_scale,empirical_group_baseline,23,23,308.741,837.321,528.58,189.47728553385232,268.3986862157699,0.4409846491337315,0.44946159586607193,0.5575918587872264,-0.3791967900957467,0.0,0.5701235776196908,1.7684855831694668,0.008872241120843267,18,5,558.01551794074,587.275285823801,0.6731593181783999,1.1929803064758133,-35.095290359618616,ok,ok,fit completed in log space,material_system+n_or_p+fitting_source+temperature_bin,,,,,,False,False,False,fit_only,23,0,-4.7248278515708195,large holdout log RMSE,https://doi.org/10.1002/adfm.201000970
10.1002_adfm.201201221__sample_209,5968,10.1002/adfm.201201221,209,,,Pb0.99Ba0.01Te1.01Na0.02,unknown,p,"estimated from Seebeck sign: positive=11, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=11, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,unknown,no,no,unknown,,unknown,,False,unknown,True,True,Electrical conductivity,Electrical conductivity,from_sigma,0.8543890213504861,-0.15736866040173308,relative_scale,empirical_group_baseline,11,11,298.879,767.489,468.61,36712.065448717745,54660.63514397096,0.7873738508476854,0.7142670278928958,0.8041194607403646,0.3361143135411181,-1.6148698540002277e-16,0.8433676054103052,2.3241807361890805,1.213196301434883,8,3,31064.045495916198,31219.647044781446,2.6447503609974947,1.2917350953406652,-167.01243893921176,ok,ok,fit completed in log space,material_system+n_or_p+fitting_source+temperature_bin,8.325359e-05,3.052152,,0.00127041097560336,0.1244037524924567,True,True,False,fit_and_zt_eval,11,0,0.19325844822467708,large holdout log RMSE,https://doi.org/10.1002/adfm.201201221
10.1002_adfm.201201221__sample_328,5968,10.1002/adfm.201201221,328,,,Pb0.98Ba0.02Te1.01Na0.02,unknown,p,"estimated from Seebeck sign: positive=11, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=11, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,unknown,no,no,unknown,,unknown,,False,unknown,True,True,Electrical conductivity,Electrical conductivity,from_sigma,0.6058830513811369,-0.5010682960563073,relative_scale,empirical_group_baseline,11,11,301.682,764.686,463.004,25530.904006441902,38237.71151953484,0.7550528147363853,0.696482038917766,0.7854805521518771,0.34317154726723953,1.6148698540002277e-16,0.8238189531624642,2.279187348106805,0.8477967890192764,8,3,21249.920633269572,21353.58881033939,2.4505841074776256,1.2374218572879827,-161.3827517046848,ok,ok,fit completed in log space,material_system+n_or_p+fitting_source+temperature_bin,0.0001023923,2.17947,,0.0013413180784287945,0.21692508186029655,True,False,False,fit_and_pf_eval,11,0,-0.165114307497906,large holdout log RMSE,https://doi.org/10.1002/adfm.201201221
10.1002_adfm.201402211__sample_7641,5977,10.1002/adfm.201402211,7641,,,BiAgSeS0.985Cl0.015,unknown,n,"estimated from Seebeck sign: positive=0, negative=12, zero=0, positive_ratio=0.000, negative_ratio=1.000",n,"estimated from Seebeck sign: positive=0, negative=12, zero=0, positive_ratio=0.000, negative_ratio=1.000",high,unknown,no,no,unknown,,unknown,,False,unknown,True,True,Electrical conductivity,Electrical conductivity,from_sigma,0.028727621861798447,-3.549896184850413,relative_scale,empirical_group_baseline,12,12,300.089,823.456,523.367,1636.6996404013591,2029.531282525519,1.1121619949120087,0.8670550865021336,0.9806192868139851,-0.40627675993539425,5.181040781584064e-16,1.0242234410011601,2.784931956658261,0.01919629652324857,9,3,3866.2153134915898,3944.7527865146494,0.7970411903873345,1.623876401868367,-105.12913576059063,ok,ok,fit completed in log space,material_system+n_or_p+fitting_source+temperature_bin,-0.00034443,0.388125,0.04612716,6.53068110754251e-05,0.05925062997448329,True,False,False,fit_and_pf_eval,12,0,-3.9530379079680937,large fit MAPE; large holdout log RMSE,https://doi.org/10.1002/adfm.201402211
10.1002_adfm.201402211__sample_7642,5977,10.1002/adfm.201402211,7642,,,BiAgSeS0.985Cl0.015,unknown,n,"estimated from Seebeck sign: positive=0, negative=12, zero=0, positive_ratio=0.000, negative_ratio=1.000",n,"estimated from Seebeck sign: positive=0, negative=12, zero=0, positive_ratio=0.000, negative_ratio=1.000",high,unknown,no,no,unknown,,unknown,,False,unknown,True,True,Electrical conductivity,Electrical conductivity,from_sigma,0.08022540045554563,-2.522915100343385,relative_scale,empirical_group_baseline,12,12,302.825,823.081,520.2560000000001,3150.6578959279836,3717.9095349912113,0.7617606013601117,0.642746250620616,0.7344496226947419,-0.6146065559446403,5.921189464667501e-16,0.7671076124174842,2.1535283981881412,0.05978737524816803,9,3,6681.541990812099,6787.844092519607,0.6881644227102846,1.1856536106600075,-105.80138303533468,ok,ok,fit completed in log space,material_system+n_or_p+fitting_source+temperature_bin,-0.0003123569,0.4546124,0.13505,0.00019200850272811418,0.12790010751717545,True,True,False,fit_and_zt_eval,12,0,-2.8169607565650945,large holdout log RMSE,https://doi.org/10.1002/adfm.201402211
10.1002_adfm.201402211__sample_7643,5977,10.1002/adfm.201402211,7643,,,BiAgSeS0.985Cl 0.015,unknown,n,"estimated from Seebeck sign: positive=0, negative=12, zero=0, positive_ratio=0.000, negative_ratio=1.000",n,"estimated from Seebeck sign: positive=0, negative=12, zero=0, positive_ratio=0.000, negative_ratio=1.000",high,unknown,no,no,unknown,,unknown,,False,unknown,True,True,Electrical conductivity,Electrical conductivity,from_sigma,0.08895853860134117,-2.4195848762076366,relative_scale,empirical_group_baseline,12,12,300.36,822.126,521.766,3620.9542048340813,4323.956422101021,0.7650197833286242,0.654670682066485,0.7456469938112961,-0.5890906619252247,-7.401486830834377e-17,0.7788028851184988,2.1788623550785777,0.06520217589034051,9,3,8009.244282222615,8126.245041872208,0.7082851354971881,1.251512501112575,-118.43729980671222,ok,ok,fit completed in log space,material_system+n_or_p+fitting_source+temperature_bin,-0.0003015078,0.4142238,0.1424588,0.0001983234278327497,0.16078069725154684,True,False,False,fit_and_pf_eval,12,0,-2.730262438055146,large holdout log RMSE,https://doi.org/10.1002/adfm.201402211
10.1002_adfm.201602652__sample_19500,5992,10.1002/adfm.201602652,19500,,,SnSe,unknown,p,"estimated from Seebeck sign: positive=10, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=10, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,unknown,no,no,unknown,,unknown,,False,unknown,True,True,Electrical conductivity,Electrical conductivity,from_sigma,0.0016883090385336156,-6.3840278198654055,relative_scale,empirical_group_baseline,8,8,326.541,764.397,437.85600000000005,143.6157646647412,239.46054642084596,2.0850691193365223,1.3097714852077025,1.5053406940504943,-0.15183035418958624,-8.881784197001252e-16,1.609276893572984,4.999194970508623,0.0008785342410485113,6,2,447.0338860459279,493.10323188107003,0.9163354988561558,2.665156853276215,-32.515479028362435,ok,ok,fit completed in log space,material_system+n_or_p+fitting_source+temperature_bin,0.0002937514,1.149664,0.002598502,1.0459378169846076e-06,0.0002970794777395576,True,True,True,fit_and_zt_eval,8,0,-7.037255674376705,large fit MAPE; large fit log RMSE; large holdout log RMSE,https://doi.org/10.1002/adfm.201602652
10.1002_adfm.201602652__sample_19501,5992,10.1002/adfm.201602652,19501,,,SnSe,unknown,p,"estimated from Seebeck sign: positive=11, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=11, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,unknown,no,no,unknown,,unknown,,False,unknown,True,True,Electrical conductivity,Electrical conductivity,from_sigma,0.002051905141159295,-6.188986580247355,relative_scale,empirical_group_baseline,7,7,420.817,762.234,341.41700000000003,157.13915954638247,230.268504694481,3.092134079959784,1.4065474863097267,1.6195846763738335,-0.14075298040547368,7.61295788314393e-16,1.7493513877822708,5.750871380614598,,5,2,,,,,,not_enough_points,ok,fit completed in log space,material_system+n_or_p+fitting_source+temperature_bin,0.0003596822,0.9550336,0.0006033183,2.3522054169812456e-06,,False,False,False,fit_only,7,0,,large fit MAPE; large fit log RMSE,https://doi.org/10.1002/adfm.201602652
10.1002_adfm.201602652__sample_19502,5992,10.1002/adfm.201602652,19502,,,SnSe,unknown,p,"estimated from Seebeck sign: positive=10, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=10, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,unknown,no,no,unknown,,unknown,,False,unknown,True,True,Electrical conductivity,Electrical conductivity,from_sigma,0.003784688404080202,-5.5767917193705046,relative_scale,empirical_group_baseline,8,8,420.824,765.903,345.079,351.13144912704746,558.9676331984188,2.4574850335494416,1.4336973794914698,1.6136468494407057,-0.11218389118988781,0.0,1.7250610439583756,5.612863650650638,0.0018919647916959465,6,2,1086.161838059856,1149.7780362408946,0.9324981836026507,2.802026467731366,-69.04090125354239,ok,ok,fit completed in log space,material_system+n_or_p+fitting_source+temperature_bin,0.0005180224,,0.003080098,6.505385695539364e-06,,False,False,False,fit_only,8,0,-6.270139417565798,large fit MAPE; large fit log RMSE; large holdout log RMSE,https://doi.org/10.1002/adfm.201602652
10.1002_adfm.201602652__sample_19504,5992,10.1002/adfm.201602652,19504,,,K0.01Sn0.99Se,unknown,p,"estimated from Seebeck sign: positive=11, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=11, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,unknown,no,no,unknown,,unknown,,False,unknown,True,True,Electrical conductivity,Electrical conductivity,from_sigma,0.03847190699561484,-3.2578269924661636,relative_scale,empirical_group_baseline,11,11,302.143,771.583,469.44,997.779543246314,1160.1125356140105,1.0426425904299077,0.6504485432427213,0.8241495473490482,-0.6473567692739097,0.0,0.8643753374751073,2.373522971949913,0.033704925998368405,8,3,753.975496333006,801.8372282330951,0.3767572459928005,0.5096502402684959,-20.460770142439795,ok,ok,fit completed in log space,material_system+n_or_p+fitting_source+temperature_bin,0.0002355845,0.3922652,0.2560121,2.0479487600218267e-05,0.8501653741442033,True,False,False,fit_and_pf_eval,11,0,-3.3901112802475057,large fit MAPE,https://doi.org/10.1002/adfm.201602652
10.1002_adfm.201602652__sample_19505,5992,10.1002/adfm.201602652,19505,,,K0.01Sn0.99Se,unknown,p,"estimated from Seebeck sign: positive=11, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=11, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",high,unknown,no,no,unknown,,unknown,,False,unknown,True,True,Electrical conductivity,Electrical conductivity,from_sigma,0.01748288719286808,-4.046532751177302,relative_scale,empirical_group_baseline,11,11,318.335,779.533,461.19800000000004,401.73022397374916,602.0655669995239,0.5743993782485949,0.49347410588400786,0.6596793116691685,-0.6247664759909188,-1.6148698540002277e-16,0.6918774990334192,1.9974622483560622,0.01300283890501163,8,3,1001.8817384447008,1152.2621470978231,0.6379500138005071,1.1534631273818647,-8.473133301634478,ok,ok,fit completed in log space,material_system+n_or_p+fitting_source+temperature_bin,0.0002575722,,0.006952624,1.9673496436323215e-05,,True,False,False,fit_and_pf_eval,11,0,-4.342587568052867,large holdout log RMSE,https://doi.org/10.1002/adfm.201602652
10.1002_adfm.201806558__sample_41880,31992,10.1002/adfm.201806558,41880,,,BiSbSe3,unknown,n,"estimated from Seebeck sign: positive=0, negative=11, zero=0, positive_ratio=0.000, negative_ratio=1.000",n,"estimated from Seebeck sign: positive=0, negative=11, zero=0, positive_ratio=0.000, negative_ratio=1.000",high,unknown,no,no,unknown,,unknown,,False,unknown,True,True,Electrical conductivity,Electrical conductivity,from_sigma,0.0019704520670689603,-6.229492286888231,relative_scale,empirical_group_baseline,11,11,300.448,799.56,499.11199999999997,133.14078775578557,245.82245089411276,0.7282703225548346,0.6858991357131423,0.8609674563888949,-0.15194260636220358,4.844609562000683e-16,0.9029902862472221,2.466969036137225,0.0012727232548791257,8,3,393.98120215957994,494.28345780686345,0.7636967499667057,1.7107667652338243,-6.144976484209497,ok,ok,fit completed in log space,material_system+n_or_p+fitting_source+temperature_bin,-0.0007578224,0.594302,0.003138431,2.7538026701341035e-05,0.013921785634853173,True,True,True,fit_and_zt_eval,11,0,-6.666596379050919,large holdout log RMSE,https://doi.org/10.1002/adfm.201806558
10.1002_adfm.201806558__sample_41887,31992,10.1002/adfm.201806558,41887,,,Bi0.5Sb1.5Se3,unknown,n,"estimated from Seebeck sign: positive=0, negative=11, zero=0, positive_ratio=0.000, negative_ratio=1.000",n,"estimated from Seebeck sign: positive=0, negative=11, zero=0, positive_ratio=0.000, negative_ratio=1.000",high,unknown,no,no,unknown,,unknown,,False,unknown,True,True,Electrical conductivity,Electrical conductivity,from_sigma,5.8273692331775584e-05,-9.750359812903396,relative_scale,empirical_group_baseline,11,11,300.0,800.813,500.813,69.25769799385084,138.32090354481957,95.4591887644308,3.1802000613663566,3.6710102796386472,-0.06298232875337528,5.652044489000797e-16,3.850188063008596,47.00190171950401,1.3031782210186559e-05,8,3,228.83066803661086,265.7973424049044,0.9952359631313658,5.520313134936244,-82.66133276016812,ok,ok,fit completed in log space,material_system+n_or_p+fitting_source+temperature_bin,-0.001430054,0.6257686,0.002021563,1.2318493824790003e-08,5.9056145473534476e-06,True,True,True,fit_and_zt_eval,11,0,-11.2481193987297,large fit MAPE; large fit log RMSE; large holdout log RMSE,https://doi.org/10.1002/adfm.201806558
