sample_key,DOI,paper_title,year,sample_id,composition,material_system,n_or_p,n_or_p_confidence_step6,np_basis_auto_step9,additive_auto_step9,structure_auto_step9,nanocarbon_type_auto_step9,zt_max_observed_step9,thermal_conductivity_min_observed_step9,review_priority_score_step9,review_priority_tier_step9,review_priority_reason_step9,paper_checked_step9,additive_manual_step9,structure_manual_step9,np_type_paper_manual_step9,np_basis_paper_manual_step9,manual_review_note_step9,SID,n_or_p_basis,n_or_p_step6,n_or_p_basis_step6,np_basis_source_step9,np_checked_in_paper_step9,np_check_note_step9,sintering_method,sintering_checked,record_checked,sintering_status_step9,sintering_note_step9,sintering_keyword_detected_step9,additive_evidence_auto_step9,additive_keyword_detected_step9,structure_evidence_auto_step9,structure_keyword_detected_step9,nanocarbon_keyword_detected_step9,nanocarbon_evidence_auto_step9,rare_metal_flag_auto_step9,rare_metal_elements_auto_step9,toxicity_flag_auto_step9,toxicity_elements_auto_step9,rare_metal_note_manual_step9,toxicity_note_manual_step9,sigma_or_rho_point_count_step9,seebeck_point_count_step9,candidate_priority_tier_step8,fitting_source_preference_step8,valid_sigma_or_rho_point_count_step8,sigma_or_rho_temperature_span_step8,paper_check_date_step9,paper_check_scope_step9,needs_sintering_check_later_step9,text_for_literature_hint_step9,has_electrical_conductivity,has_electrical_resistivity,has_sigma_or_rho,has_seebeck,has_thermal_conductivity,has_zt,has_kappa_or_zt,electrical_conductivity_curve_count,electrical_resistivity_curve_count,seebeck_curve_count_step5,thermal_conductivity_curve_count,zt_curve_count,electrical_conductivity_point_count,electrical_resistivity_point_count,sigma_or_rho_point_count,seebeck_point_count_step5,thermal_conductivity_point_count,zt_point_count,kappa_or_zt_point_count,is_learning_candidate_step5,learning_candidate_reason_step5,n_or_p_prior,n_or_p_basis_prior,seebeck_positive_count,seebeck_negative_count,seebeck_zero_count,seebeck_valid_count,seebeck_curve_count,seebeck_point_count,seebeck_abs_like_curve_count,seebeck_parse_failed_curve_count,seebeck_sign_mixed_flag,sintering_method_prior_step7,sintering_checked_prior_step7,record_checked_prior_step7,sintering_status_step7,sintering_note_step7,sigma_curve_count_step8,rho_curve_count_step8,sigma_or_rho_curve_count_step8,sigma_point_count_step8,rho_point_count_step8,sigma_or_rho_point_count_step8,valid_sigma_point_count_step8,valid_rho_point_count_step8,nonpositive_sigma_point_count_step8,nonpositive_rho_point_count_step8,nonpositive_sigma_or_rho_point_count_step8,sigma_temperature_min_step8,sigma_temperature_max_step8,rho_temperature_min_step8,rho_temperature_max_step8,sigma_or_rho_temperature_min_step8,sigma_or_rho_temperature_max_step8,sigma_rho_parse_failed_curve_count_step8,sigma_rho_xy_mismatch_curve_count_step8,has_valid_sigma_step8,has_valid_rho_step8,has_valid_sigma_or_rho_step8,has_seebeck_step8,has_thermal_conductivity_step8,has_zt_step8,has_kappa_or_zt_step8,seebeck_curve_count_step8,thermal_conductivity_curve_count_step8,zt_curve_count_step8,seebeck_point_count_step8,thermal_conductivity_point_count_step8,zt_point_count_step8,kappa_or_zt_point_count_step8,is_tau_fitting_candidate_step8,is_full_learning_candidate_step8,is_initial_tau_fit_candidate_step8,fitting_source_reason_step8,learning_candidate_reason_step8,zt_point_count_step9,thermal_conductivity_point_count_step9,doi_url
10.1007_s11664-012-2370-5__sample_5483,10.1007/s11664-012-2370-5,,,5483,Yb2O3,unknown,n,high,"estimated from Seebeck sign: positive=0, negative=12, zero=0, positive_ratio=0.000, negative_ratio=1.000",unknown,unknown,unknown,1.171596,2.537957,105,A,+30 initial tau fit; +30 Step8 tier A; +40 ZT>=1; +10 high n/p confidence; -5 rare metal memo,no,,,,,,10754,"estimated from Seebeck sign: positive=0, negative=12, zero=0, positive_ratio=0.000, negative_ratio=1.000",n,"estimated from Seebeck sign: positive=0, negative=12, zero=0, positive_ratio=0.000, negative_ratio=1.000",Seebeck sign from Starrydata2,no,,unknown,no,no,not_checked,"sintering intentionally not checked at step9; check only after error analysis for high-error, high-ZT, or final-paper samples",False,,False,,False,False,,True,Yb,False,,,,12,12,A,Electrical conductivity,12,551.642,,not checked,no,Yb2O3 | unknown | Yb2O3 | unknown | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | Yb2O3 | unknown | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Yb2O3 | unknown | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | Yb2O3 | unknown | ZT | ZT | ZT | ZT | ZT,True,False,True,True,True,True,True,1,0,1,1,1,12,0,12,12,12,12,24,True,"ok: sigma/rho, Seebeck, and kappa/ZT available",n,,0,12,0,12,1,12,0,0,False,,,,not_checked,"not checked at step7; to be checked only for high-error, high-ZT, or final-paper samples",1,0,1,12,0,12,12,0,0,0,0,302.7254,854.3674,0.0,0.0,302.7254,854.3674,0,0,True,False,True,True,True,True,True,1,1,1,12,12,12,24,True,True,True,use Electrical conductivity: valid sigma points >= 5,"ok: valid sigma/rho >=5, Seebeck available, kappa/ZT available",12.0,12.0,https://doi.org/10.1007/s11664-012-2370-5
10.1039_c6ra01947a__sample_42875,10.1039/c6ra01947a,,,42875,(Si0.88Ge0.12)0.925(FeSi2)0.05Ag0.025,unknown,n,high,"estimated from Seebeck sign: positive=0, negative=14, zero=0, positive_ratio=0.000, negative_ratio=1.000",unknown,unknown,unknown,1.170163,2.583954,105,A,+30 initial tau fit; +30 Step8 tier A; +40 ZT>=1; +10 high n/p confidence; -5 rare metal memo,no,,,,,,16863,"estimated from Seebeck sign: positive=0, negative=14, zero=0, positive_ratio=0.000, negative_ratio=1.000",n,"estimated from Seebeck sign: positive=0, negative=14, zero=0, positive_ratio=0.000, negative_ratio=1.000",Seebeck sign from Starrydata2,no,,unknown,no,no,not_checked,"sintering intentionally not checked at step9; check only after error analysis for high-error, high-ZT, or final-paper samples",False,,False,,False,False,,True,"Ag, Ge",False,,,,14,14,A,Electrical conductivity,14,904.8901000000001,,not checked,no,(Si0.88Ge0.12)0.925(FeSi2)0.05Ag0.025 | unknown | (Si0.88Ge0.12)0.925(FeSi2)0.05Ag0.025 | unknown | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | (Si0.88Ge0.12)0.925(FeSi2)0.05Ag0.025 | unknown | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | (Si0.88Ge0.12)0.925(FeSi2)0.05Ag0.025 | unknown | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | (Si0.88Ge0.12)0.925(FeSi2)0.05Ag0.025 | unknown | ZT | ZT | ZT | ZT | ZT,True,False,True,True,True,True,True,1,0,1,1,1,14,0,14,14,14,14,28,True,"ok: sigma/rho, Seebeck, and kappa/ZT available",n,,0,14,0,14,1,14,0,0,False,,,,not_checked,"not checked at step7; to be checked only for high-error, high-ZT, or final-paper samples",1,0,1,14,0,14,14,0,0,0,0,305.9159,1210.806,0.0,0.0,305.9159,1210.806,0,0,True,False,True,True,True,True,True,1,1,1,14,14,14,28,True,True,True,use Electrical conductivity: valid sigma points >= 5,"ok: valid sigma/rho >=5, Seebeck available, kappa/ZT available",14.0,14.0,https://doi.org/10.1039/c6ra01947a
10.1002_adfm.202102185__sample_45228,10.1002/adfm.202102185,,,45228,Pb0.99Cu0.01SCu0.01,unknown,p,high,"estimated from Seebeck sign: positive=12, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",unknown,unknown,unknown,1.16774,0.8095976,105,A,+30 initial tau fit; +30 Step8 tier A; +40 ZT>=1; +10 high n/p confidence; -5 toxicity memo,no,,,,,,37554,"estimated from Seebeck sign: positive=12, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=12, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",Seebeck sign from Starrydata2,no,,unknown,no,no,not_checked,"sintering intentionally not checked at step9; check only after error analysis for high-error, high-ZT, or final-paper samples",False,,False,,False,False,,False,,True,Pb,,,12,12,A,Electrical conductivity,12,520.5516,,not checked,no,Pb0.99Cu0.01SCu0.01 | unknown | Pb0.99Cu0.01SCu0.01 | unknown | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | Pb0.99Cu0.01SCu0.01 | unknown | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Pb0.99Cu0.01SCu0.01 | unknown | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | Pb0.99Cu0.01SCu0.01 | unknown | ZT | ZT | ZT | ZT | ZT,True,False,True,True,True,True,True,1,0,1,1,1,12,0,12,12,12,12,24,True,"ok: sigma/rho, Seebeck, and kappa/ZT available",p,,12,0,0,12,1,12,0,0,False,,,,not_checked,"not checked at step7; to be checked only for high-error, high-ZT, or final-paper samples",1,0,1,12,0,12,12,0,0,0,0,300.4815,821.0331,0.0,0.0,300.4815,821.0331,0,0,True,False,True,True,True,True,True,1,1,1,12,12,12,24,True,True,True,use Electrical conductivity: valid sigma points >= 5,"ok: valid sigma/rho >=5, Seebeck available, kappa/ZT available",12.0,12.0,https://doi.org/10.1002/adfm.202102185
10.1039_c4cp00641k__sample_9331,10.1039/c4cp00641k,,,9331,Mg2(Si0.3Sn0.7)0.96Bi0.04,unknown,n,high,"estimated from Seebeck sign: positive=0, negative=26, zero=0, positive_ratio=0.000, negative_ratio=1.000",unknown,unknown,unknown,1.162866,2.717421,105,A,+30 initial tau fit; +30 Step8 tier A; +40 ZT>=1; +10 high n/p confidence; -5 rare metal memo,no,,,,,,4600,"estimated from Seebeck sign: positive=0, negative=26, zero=0, positive_ratio=0.000, negative_ratio=1.000",n,"estimated from Seebeck sign: positive=0, negative=26, zero=0, positive_ratio=0.000, negative_ratio=1.000",Seebeck sign from Starrydata2,no,,unknown,no,no,not_checked,"sintering intentionally not checked at step9; check only after error analysis for high-error, high-ZT, or final-paper samples",False,,False,,False,False,,True,Bi,False,,,,26,26,A,Electrical conductivity,26,500.0,,not checked,no,Mg2(Si0.3Sn0.7)0.96Bi0.04 | unknown | Mg2(Si0.3Sn0.7)0.96Bi0.04 | unknown | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | Mg2(Si0.3Sn0.7)0.96Bi0.04 | unknown | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Mg2(Si0.3Sn0.7)0.96Bi0.04 | unknown | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | Mg2(Si0.3Sn0.7)0.96Bi0.04 | unknown | ZT | ZT | ZT | ZT | ZT,True,False,True,True,True,True,True,1,0,1,1,1,26,0,26,26,9,26,35,True,"ok: sigma/rho, Seebeck, and kappa/ZT available",n,,0,26,0,26,1,26,0,0,False,,,,not_checked,"not checked at step7; to be checked only for high-error, high-ZT, or final-paper samples",1,0,1,26,0,26,26,0,0,0,0,300.0,800.0,0.0,0.0,300.0,800.0,0,0,True,False,True,True,True,True,True,1,1,1,26,9,26,35,True,True,True,use Electrical conductivity: valid sigma points >= 5,"ok: valid sigma/rho >=5, Seebeck available, kappa/ZT available",26.0,9.0,https://doi.org/10.1039/c4cp00641k
10.1016_j.jallcom.2016.09.231__sample_2415,10.1016/j.jallcom.2016.09.231,,,2415,K6Ba18Ga40Sn96,unknown,n,high,"estimated from Seebeck sign: positive=0, negative=68, zero=0, positive_ratio=0.000, negative_ratio=1.000",unknown,unknown,unknown,1.16016,0.718027,105,A,+30 initial tau fit; +30 Step8 tier A; +40 ZT>=1; +10 high n/p confidence; -5 rare metal memo,no,,,,,,18558,"estimated from Seebeck sign: positive=0, negative=68, zero=0, positive_ratio=0.000, negative_ratio=1.000",n,"estimated from Seebeck sign: positive=0, negative=68, zero=0, positive_ratio=0.000, negative_ratio=1.000",Seebeck sign from Starrydata2,no,,unknown,no,no,not_checked,"sintering intentionally not checked at step9; check only after error analysis for high-error, high-ZT, or final-paper samples",False,,False,,False,False,,True,Ga,False,,,,68,68,A,Electrical conductivity,68,585.9922,,not checked,no,K6Ba18Ga40Sn96 | unknown | K6Ba18Ga40Sn96 | unknown | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | K6Ba18Ga40Sn96 | unknown | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | K6Ba18Ga40Sn96 | unknown | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | K6Ba18Ga40Sn96 | unknown | ZT | ZT | ZT | ZT | ZT,True,False,True,True,True,True,True,1,0,1,1,1,68,0,68,68,56,58,114,True,"ok: sigma/rho, Seebeck, and kappa/ZT available",n,,0,68,0,68,1,68,0,0,False,,,,not_checked,"not checked at step7; to be checked only for high-error, high-ZT, or final-paper samples",1,0,1,68,0,68,68,0,0,0,0,109.3385,695.3307,0.0,0.0,109.3385,695.3307,0,0,True,False,True,True,True,True,True,1,1,1,68,56,58,114,True,True,True,use Electrical conductivity: valid sigma points >= 5,"ok: valid sigma/rho >=5, Seebeck available, kappa/ZT available",58.0,56.0,https://doi.org/10.1016/j.jallcom.2016.09.231
10.1021_ja301772w__sample_7384,10.1021/ja301772w,,,7384,Pb0.975Na0.025S(CaS)0.03,unknown,p,high,"estimated from Seebeck sign: positive=26, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",unknown,unknown,unknown,1.153547,0.7230216,105,A,+30 initial tau fit; +30 Step8 tier A; +40 ZT>=1; +10 high n/p confidence; -5 toxicity memo,no,,,,,,3495,"estimated from Seebeck sign: positive=26, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=26, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",Seebeck sign from Starrydata2,no,,unknown,no,no,not_checked,"sintering intentionally not checked at step9; check only after error analysis for high-error, high-ZT, or final-paper samples",False,,False,,False,False,,False,,True,Pb,,,26,26,A,Electrical conductivity,26,622.5619,,not checked,no,Pb0.975Na0.025S(CaS)0.03 | unknown | Pb0.975Na0.025S(CaS)0.03 | unknown | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | Pb0.975Na0.025S(CaS)0.03 | unknown | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Pb0.975Na0.025S(CaS)0.03 | unknown | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | Pb0.975Na0.025S(CaS)0.03 | unknown | ZT | ZT | ZT | ZT | ZT,True,False,True,True,True,True,True,1,0,1,1,1,26,0,26,26,26,26,52,True,"ok: sigma/rho, Seebeck, and kappa/ZT available",p,,26,0,0,26,1,26,0,0,False,,,,not_checked,"not checked at step7; to be checked only for high-error, high-ZT, or final-paper samples",1,0,1,26,0,26,26,0,0,0,0,305.4819,928.0438,0.0,0.0,305.4819,928.0438,0,0,True,False,True,True,True,True,True,1,1,1,26,26,26,52,True,True,True,use Electrical conductivity: valid sigma points >= 5,"ok: valid sigma/rho >=5, Seebeck available, kappa/ZT available",26.0,26.0,https://doi.org/10.1021/ja301772w
10.1021_nl3003045__sample_1352,10.1021/nl3003045,,,1352,Si83.75Ge16.25P1.35,unknown,n,high,"estimated from Seebeck sign: positive=0, negative=10, zero=0, positive_ratio=0.000, negative_ratio=1.000",unknown,unknown,unknown,1.152552,3.57,105,A,+30 initial tau fit; +30 Step8 tier A; +40 ZT>=1; +10 high n/p confidence; -5 rare metal memo,no,,,,,,4145,"estimated from Seebeck sign: positive=0, negative=10, zero=0, positive_ratio=0.000, negative_ratio=1.000",n,"estimated from Seebeck sign: positive=0, negative=10, zero=0, positive_ratio=0.000, negative_ratio=1.000",Seebeck sign from Starrydata2,no,,unknown,no,no,not_checked,"sintering intentionally not checked at step9; check only after error analysis for high-error, high-ZT, or final-paper samples",False,,False,,False,False,,True,Ge,False,,,,10,10,A,Electrical conductivity,10,883.9000000000001,,not checked,no,Si83.75Ge16.25P1.35 | unknown | Si83.75Ge16.25P1.35 | unknown | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | Si83.75Ge16.25P1.35 | unknown | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Si83.75Ge16.25P1.35 | unknown | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | Si83.75Ge16.25P1.35 | unknown | ZT | ZT | ZT | ZT | ZT,True,False,True,True,True,True,True,1,0,1,1,1,10,0,10,10,10,10,20,True,"ok: sigma/rho, Seebeck, and kappa/ZT available",n,,0,10,0,10,1,10,0,0,False,,,,not_checked,"not checked at step7; to be checked only for high-error, high-ZT, or final-paper samples",1,0,1,10,0,10,10,0,0,0,0,294.25,1178.15,0.0,0.0,294.25,1178.15,0,0,True,False,True,True,True,True,True,1,1,1,10,10,10,20,True,True,True,use Electrical conductivity: valid sigma points >= 5,"ok: valid sigma/rho >=5, Seebeck available, kappa/ZT available",10.0,10.0,https://doi.org/10.1021/nl3003045
10.1016_j.jssc.2019.120995__sample_44189,10.1016/j.jssc.2019.120995,,,44189,(PbS)0.96(CaS)0.03(PbCl2)0.01,unknown,n,high,"estimated from Seebeck sign: positive=0, negative=26, zero=0, positive_ratio=0.000, negative_ratio=1.000",unknown,unknown,unknown,1.146078,0.7296229,105,A,+30 initial tau fit; +30 Step8 tier A; +40 ZT>=1; +10 high n/p confidence; -5 toxicity memo,no,,,,,,24190,"estimated from Seebeck sign: positive=0, negative=26, zero=0, positive_ratio=0.000, negative_ratio=1.000",n,"estimated from Seebeck sign: positive=0, negative=26, zero=0, positive_ratio=0.000, negative_ratio=1.000",Seebeck sign from Starrydata2,no,,unknown,no,no,not_checked,"sintering intentionally not checked at step9; check only after error analysis for high-error, high-ZT, or final-paper samples",False,,False,,False,False,,False,,True,Pb,,,27,26,A,Electrical conductivity,27,629.7892,,not checked,no,(PbS)0.96(CaS)0.03(PbCl2)0.01 | unknown | (PbS)0.96(CaS)0.03(PbCl2)0.01 | unknown | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | (PbS)0.96(CaS)0.03(PbCl2)0.01 | unknown | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | (PbS)0.96(CaS)0.03(PbCl2)0.01 | unknown | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | (PbS)0.96(CaS)0.03(PbCl2)0.01 | unknown | ZT | ZT | ZT | ZT | ZT,True,False,True,True,True,True,True,1,0,1,1,1,27,0,27,26,27,26,53,True,"ok: sigma/rho, Seebeck, and kappa/ZT available",n,,0,26,0,26,1,26,0,0,False,,,,not_checked,"not checked at step7; to be checked only for high-error, high-ZT, or final-paper samples",1,0,1,27,0,27,27,0,0,0,0,302.1513,931.9405,0.0,0.0,302.1513,931.9405,0,0,True,False,True,True,True,True,True,1,1,1,26,27,26,53,True,True,True,use Electrical conductivity: valid sigma points >= 5,"ok: valid sigma/rho >=5, Seebeck available, kappa/ZT available",26.0,27.0,https://doi.org/10.1016/j.jssc.2019.120995
10.1021_ja306527n__sample_155,10.1021/ja306527n,,,155,Pb0.975Na0.025Sr0.03S1.03,unknown,p,high,"estimated from Seebeck sign: positive=42, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",unknown,unknown,unknown,1.145823,0.6881774,105,A,+30 initial tau fit; +30 Step8 tier A; +40 ZT>=1; +10 high n/p confidence; -5 toxicity memo,no,,,,,,3497,"estimated from Seebeck sign: positive=42, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=42, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",Seebeck sign from Starrydata2,no,,unknown,no,no,not_checked,"sintering intentionally not checked at step9; check only after error analysis for high-error, high-ZT, or final-paper samples",False,,False,,False,False,,False,,True,Pb,,,52,42,A,Electrical conductivity,52,630.3562000000001,,not checked,no,Pb0.975Na0.025Sr0.03S1.03 | unknown | Pb0.975Na0.025Sr0.03S1.03 | unknown | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | Pb0.975Na0.025Sr0.03S1.03 | unknown | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Pb0.975Na0.025Sr0.03S1.03 | unknown | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | Pb0.975Na0.025Sr0.03S1.03 | unknown | ZT | ZT | ZT | ZT | ZT,True,False,True,True,True,True,True,2,0,2,2,1,52,0,52,42,41,14,55,True,"ok: sigma/rho, Seebeck, and kappa/ZT available",p,,42,0,0,42,2,42,0,0,False,,,,not_checked,"not checked at step7; to be checked only for high-error, high-ZT, or final-paper samples",2,0,2,52,0,52,52,0,0,0,0,300.2627,930.6189,0.0,0.0,300.2627,930.6189,0,0,True,False,True,True,True,True,True,2,2,1,42,41,14,55,True,True,True,use Electrical conductivity: valid sigma points >= 5,"ok: valid sigma/rho >=5, Seebeck available, kappa/ZT available",14.0,41.0,https://doi.org/10.1021/ja306527n
10.1016_j.jallcom.2019.153453__sample_29516,10.1016/j.jallcom.2019.153453,,,29516,Pb0.98Na0.02S(Cu2S)0.02,unknown,p,high,"estimated from Seebeck sign: positive=11, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",unknown,unknown,unknown,1.144367,0.8708073,105,A,+30 initial tau fit; +30 Step8 tier A; +40 ZT>=1; +10 high n/p confidence; -5 toxicity memo,no,,,,,,23631,"estimated from Seebeck sign: positive=11, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",p,"estimated from Seebeck sign: positive=11, negative=0, zero=0, positive_ratio=1.000, negative_ratio=0.000",Seebeck sign from Starrydata2,no,,unknown,no,no,not_checked,"sintering intentionally not checked at step9; check only after error analysis for high-error, high-ZT, or final-paper samples",False,,False,,False,False,,False,,True,Pb,,,11,11,A,Electrical conductivity,11,508.54699999999997,,not checked,no,Pb0.98Na0.02S(Cu2S)0.02 | unknown | Pb0.98Na0.02S(Cu2S)0.02 | unknown | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | Pb0.98Na0.02S(Cu2S)0.02 | unknown | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Pb0.98Na0.02S(Cu2S)0.02 | unknown | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | Pb0.98Na0.02S(Cu2S)0.02 | unknown | ZT | ZT | ZT | ZT | ZT,True,False,True,True,True,True,True,1,0,1,1,1,11,0,11,11,11,11,22,True,"ok: sigma/rho, Seebeck, and kappa/ZT available",p,,11,0,0,11,1,11,0,0,False,,,,not_checked,"not checked at step7; to be checked only for high-error, high-ZT, or final-paper samples",1,0,1,11,0,11,11,0,0,0,0,313.8889,822.4359,0.0,0.0,313.8889,822.4359,0,0,True,False,True,True,True,True,True,1,1,1,11,11,11,22,True,True,True,use Electrical conductivity: valid sigma points >= 5,"ok: valid sigma/rho >=5, Seebeck available, kappa/ZT available",11.0,11.0,https://doi.org/10.1016/j.jallcom.2019.153453
10.1016_j.jallcom.2020.153933__sample_28492,10.1016/j.jallcom.2020.153933,,,28492,Mg2Si0.495Bi0.055Sn0.4Ge0.05,unknown,n,high,"estimated from Seebeck sign: positive=0, negative=11, zero=0, positive_ratio=0.000, negative_ratio=1.000",unknown,unknown,unknown,1.143851,2.8,105,A,+30 initial tau fit; +30 Step8 tier A; +40 ZT>=1; +10 high n/p confidence; -5 rare metal memo,no,,,,,,24693,"estimated from Seebeck sign: positive=0, negative=11, zero=0, positive_ratio=0.000, negative_ratio=1.000",n,"estimated from Seebeck sign: positive=0, negative=11, zero=0, positive_ratio=0.000, negative_ratio=1.000",Seebeck sign from Starrydata2,no,,unknown,no,no,not_checked,"sintering intentionally not checked at step9; check only after error analysis for high-error, high-ZT, or final-paper samples",False,,False,,False,False,,True,"Bi, Ge",False,,,,11,11,A,Electrical conductivity,11,459.185,,not checked,no,Mg2Si0.495Bi0.055Sn0.4Ge0.05 | unknown | Mg2Si0.495Bi0.055Sn0.4Ge0.05 | unknown | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | Mg2Si0.495Bi0.055Sn0.4Ge0.05 | unknown | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Mg2Si0.495Bi0.055Sn0.4Ge0.05 | unknown | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | Mg2Si0.495Bi0.055Sn0.4Ge0.05 | unknown | ZT | ZT | ZT | ZT | ZT,True,False,True,True,True,True,True,1,0,1,1,1,11,0,11,11,11,11,22,True,"ok: sigma/rho, Seebeck, and kappa/ZT available",n,,0,11,0,11,1,11,0,0,False,,,,not_checked,"not checked at step7; to be checked only for high-error, high-ZT, or final-paper samples",1,0,1,11,0,11,11,0,0,0,0,312.6524,771.8374,0.0,0.0,312.6524,771.8374,0,0,True,False,True,True,True,True,True,1,1,1,11,11,11,22,True,True,True,use Electrical conductivity: valid sigma points >= 5,"ok: valid sigma/rho >=5, Seebeck available, kappa/ZT available",11.0,11.0,https://doi.org/10.1016/j.jallcom.2020.153933
10.1007_s11664-014-3235-x__sample_9911,10.1007/s11664-014-3235-x,,,9911,Mg2Si0.58Sn0.4Bi0.02,unknown,n,high,"estimated from Seebeck sign: positive=0, negative=12, zero=0, positive_ratio=0.000, negative_ratio=1.000",unknown,unknown,unknown,1.136585,2.352464,105,A,+30 initial tau fit; +30 Step8 tier A; +40 ZT>=1; +10 high n/p confidence; -5 rare metal memo,no,,,,,,10833,"estimated from Seebeck sign: positive=0, negative=12, zero=0, positive_ratio=0.000, negative_ratio=1.000",n,"estimated from Seebeck sign: positive=0, negative=12, zero=0, positive_ratio=0.000, negative_ratio=1.000",Seebeck sign from Starrydata2,no,,unknown,no,no,not_checked,"sintering intentionally not checked at step9; check only after error analysis for high-error, high-ZT, or final-paper samples",False,,False,,False,False,,True,Bi,False,,,,12,12,A,Electrical conductivity,12,511.5461,,not checked,no,Mg2Si0.58Sn0.4Bi0.02 | unknown | Mg2Si0.58Sn0.4Bi0.02 | unknown | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | Electrical conductivity | Mg2Si0.58Sn0.4Bi0.02 | unknown | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Seebeck coefficient | Mg2Si0.58Sn0.4Bi0.02 | unknown | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | Thermal conductivity | Mg2Si0.58Sn0.4Bi0.02 | unknown | ZT | ZT | ZT | ZT | ZT,True,False,True,True,True,True,True,1,0,1,1,1,12,0,12,12,12,11,23,True,"ok: sigma/rho, Seebeck, and kappa/ZT available",n,,0,12,0,12,1,12,0,0,False,,,,not_checked,"not checked at step7; to be checked only for high-error, high-ZT, or final-paper samples",1,0,1,12,0,12,12,0,0,0,0,315.2079,826.754,0.0,0.0,315.2079,826.754,0,0,True,False,True,True,True,True,True,1,1,1,12,12,11,23,True,True,True,use Electrical conductivity: valid sigma points >= 5,"ok: valid sigma/rho >=5, Seebeck available, kappa/ZT available",11.0,12.0,https://doi.org/10.1007/s11664-014-3235-x
