review_group_key_step9,DOI,SID_list,paper_title,year,sample_count,initial_tau_fit_sample_count,learning_candidate_sample_count,max_review_priority_score_step9,max_zt_observed_step9,nanocarbon_sample_count,additive_keyword_sample_count,structure_keyword_sample_count,p_sample_count,n_sample_count,mixed_sample_count,unknown_sample_count,top_sample_keys,review_priority_tier_step9,paper_review_reason_step9,paper_checked_step9,doi_url
DOI:10.1016/j.jallcom.2021.160128,10.1016/j.jallcom.2021.160128,37301,,,4,4,4,110,1.633132,0,0,0,4,0,0,0,"10.1016_j.jallcom.2021.160128__sample_46148, 10.1016_j.jallcom.2021.160128__sample_46149, 10.1016_j.jallcom.2021.160128__sample_46150, 10.1016_j.jallcom.2021.160128__sample_46147",A,max score=110; samples=4,no,https://doi.org/10.1016/j.jallcom.2021.160128
DOI:10.1134/s0020168516030079,10.1134/s0020168516030079,8625,,,2,2,2,110,1.554883,0,0,0,2,0,0,0,"10.1134_s0020168516030079__sample_18915, 10.1134_s0020168516030079__sample_18914",A,max score=110; samples=2,no,https://doi.org/10.1134/s0020168516030079
DOI:10.1002/aenm.202000757,10.1002/aenm.202000757,29108,,,1,1,1,110,1.666,0,0,0,1,0,0,0,10.1002_aenm.202000757__sample_86394,A,max score=110; samples=1,no,https://doi.org/10.1002/aenm.202000757
DOI:10.1016/j.matlet.2021.130180,10.1016/j.matlet.2021.130180,37373,,,4,4,4,110,1.243262,0,0,0,4,0,0,0,"10.1016_j.matlet.2021.130180__sample_45719, 10.1016_j.matlet.2021.130180__sample_45720, 10.1016_j.matlet.2021.130180__sample_45721, 10.1016_j.matlet.2021.130180__sample_45722",A,max score=110; samples=4,no,https://doi.org/10.1016/j.matlet.2021.130180
DOI:10.1016/j.jmat.2019.12.003,10.1016/j.jmat.2019.12.003,21566,,,5,5,5,105,1.09469,0,0,0,5,0,0,0,"10.1016_j.jmat.2019.12.003__sample_25954, 10.1016_j.jmat.2019.12.003__sample_25955, 10.1016_j.jmat.2019.12.003__sample_25950, 10.1016_j.jmat.2019.12.003__sample_25953, 10.1016_j.jmat.2019.12.003__sample_25948",A,max score=105; samples=5,no,https://doi.org/10.1016/j.jmat.2019.12.003
DOI:10.1021/nl3003045,10.1021/nl3003045,4145,,,5,5,5,105,1.264995,0,0,0,0,5,0,0,"10.1021_nl3003045__sample_1349, 10.1021_nl3003045__sample_1350, 10.1021_nl3003045__sample_1351, 10.1021_nl3003045__sample_1352, 10.1021_nl3003045__sample_1348",A,max score=105; samples=5,no,https://doi.org/10.1021/nl3003045
DOI:10.1002/adfm.202102185,10.1002/adfm.202102185,37554,,,17,17,17,105,1.16774,0,0,0,17,0,0,0,"10.1002_adfm.202102185__sample_45240, 10.1002_adfm.202102185__sample_45228, 10.1002_adfm.202102185__sample_45225, 10.1002_adfm.202102185__sample_45234, 10.1002_adfm.202102185__sample_45239, 10.1002_adfm.202102185__sample_45238, 10.1002_adfm.202102185__sample_45237, 10.1002_adfm.202102185__sample_45236, 10.1002_adfm.202102185__sample_45235, 10.1002_adfm.202102185__sample_45233",A,max score=105; samples=17,no,https://doi.org/10.1002/adfm.202102185
DOI:10.1063/1.4754570,10.1063/1.4754570,373,,,2,2,2,105,1.084056,0,0,0,0,2,0,0,"10.1063_1.4754570__sample_10581, 10.1063_1.4754570__sample_10580",A,max score=105; samples=2,no,https://doi.org/10.1063/1.4754570
DOI:10.1016/j.jeurceramsoc.2018.03.046,10.1016/j.jeurceramsoc.2018.03.046,31999,,,7,7,7,105,1.039799,0,0,0,0,7,0,0,"10.1016_j.jeurceramsoc.2018.03.046__sample_42391, 10.1016_j.jeurceramsoc.2018.03.046__sample_42392, 10.1016_j.jeurceramsoc.2018.03.046__sample_42390, 10.1016_j.jeurceramsoc.2018.03.046__sample_42393, 10.1016_j.jeurceramsoc.2018.03.046__sample_42394, 10.1016_j.jeurceramsoc.2018.03.046__sample_42395, 10.1016_j.jeurceramsoc.2018.03.046__sample_42389",A,max score=105; samples=7,no,https://doi.org/10.1016/j.jeurceramsoc.2018.03.046
DOI:10.1063/1.4768297,10.1063/1.4768297,6847,,,1,1,1,105,1.483594,0,0,0,0,1,0,0,10.1063_1.4768297__sample_21211,A,max score=105; samples=1,no,https://doi.org/10.1063/1.4768297
DOI:10.1021/ja301772w,10.1021/ja301772w,3495,,,18,18,18,105,1.223766,0,0,0,16,2,0,0,"10.1021_ja301772w__sample_7384, 10.1021_ja301772w__sample_7370, 10.1021_ja301772w__sample_7383, 10.1021_ja301772w__sample_7374, 10.1021_ja301772w__sample_7375, 10.1021_ja301772w__sample_7373, 10.1021_ja301772w__sample_7372, 10.1021_ja301772w__sample_7371, 10.1021_ja301772w__sample_7369, 10.1021_ja301772w__sample_7368",A,max score=105; samples=18,no,https://doi.org/10.1021/ja301772w
DOI:10.1039/c4cp00641k,10.1039/c4cp00641k,4600,,,8,8,8,105,1.295114,0,0,0,0,8,0,0,"10.1039_c4cp00641k__sample_9326, 10.1039_c4cp00641k__sample_9327, 10.1039_c4cp00641k__sample_9328, 10.1039_c4cp00641k__sample_9329, 10.1039_c4cp00641k__sample_9330, 10.1039_c4cp00641k__sample_9331, 10.1039_c4cp00641k__sample_9325, 10.1039_c4cp00641k__sample_9324",A,max score=105; samples=8,no,https://doi.org/10.1039/c4cp00641k
DOI:10.1007/s11664-012-2370-5,10.1007/s11664-012-2370-5,10754,,,4,4,4,105,1.292224,0,0,0,0,4,0,0,"10.1007_s11664-012-2370-5__sample_5483, 10.1007_s11664-012-2370-5__sample_5484, 10.1007_s11664-012-2370-5__sample_5485, 10.1007_s11664-012-2370-5__sample_5486",A,max score=105; samples=4,no,https://doi.org/10.1007/s11664-012-2370-5
DOI:10.1016/j.jssc.2019.120995,10.1016/j.jssc.2019.120995,24190,,,10,10,10,105,1.18063,0,0,0,0,10,0,0,"10.1016_j.jssc.2019.120995__sample_44188, 10.1016_j.jssc.2019.120995__sample_44189, 10.1016_j.jssc.2019.120995__sample_44190, 10.1016_j.jssc.2019.120995__sample_44202, 10.1016_j.jssc.2019.120995__sample_44203, 10.1016_j.jssc.2019.120995__sample_44204, 10.1016_j.jssc.2019.120995__sample_44187, 10.1016_j.jssc.2019.120995__sample_44201, 10.1016_j.jssc.2019.120995__sample_44185, 10.1016_j.jssc.2019.120995__sample_44186",A,max score=105; samples=10,no,https://doi.org/10.1016/j.jssc.2019.120995
DOI:10.1063/1.2163979,10.1063/1.2163979,10094,,,2,2,2,105,1.3593,0,0,0,0,2,0,0,"10.1063_1.2163979__sample_2240, 10.1063_1.2163979__sample_2242",A,max score=105; samples=2,no,https://doi.org/10.1063/1.2163979
DOI:10.1016/j.actamat.2014.04.060,10.1016/j.actamat.2014.04.060,66,,,8,8,8,105,1.40088,0,0,0,0,8,0,0,"10.1016_j.actamat.2014.04.060__sample_5411, 10.1016_j.actamat.2014.04.060__sample_5412, 10.1016_j.actamat.2014.04.060__sample_5413, 10.1016_j.actamat.2014.04.060__sample_5414, 10.1016_j.actamat.2014.04.060__sample_5415, 10.1016_j.actamat.2014.04.060__sample_5416, 10.1016_j.actamat.2014.04.060__sample_5410, 10.1016_j.actamat.2014.04.060__sample_5409",A,max score=105; samples=8,no,https://doi.org/10.1016/j.actamat.2014.04.060
DOI:10.1063/1.4901178,10.1063/1.4901178,6914,,,6,6,6,105,1.527493,0,0,0,0,6,0,0,"10.1063_1.4901178__sample_9521, 10.1063_1.4901178__sample_9522, 10.1063_1.4901178__sample_9523, 10.1063_1.4901178__sample_9524, 10.1063_1.4901178__sample_9525, 10.1063_1.4901178__sample_9520",A,max score=105; samples=6,no,https://doi.org/10.1063/1.4901178
DOI:10.1063/1.3027060,10.1063/1.3027060,6742,,,4,4,4,105,1.321747,0,0,0,0,4,0,0,"10.1063_1.3027060__sample_21195, 10.1063_1.3027060__sample_21196, 10.1063_1.3027060__sample_21197, 10.1063_1.3027060__sample_21198",A,max score=105; samples=4,no,https://doi.org/10.1063/1.3027060
DOI:10.1007/s11664-014-3235-x,10.1007/s11664-014-3235-x,10833,,,5,5,5,105,1.395122,0,0,0,0,5,0,0,"10.1007_s11664-014-3235-x__sample_9911, 10.1007_s11664-014-3235-x__sample_9913, 10.1007_s11664-014-3235-x__sample_9915, 10.1007_s11664-014-3235-x__sample_9917, 10.1007_s11664-014-3235-x__sample_9918",A,max score=105; samples=5,no,https://doi.org/10.1007/s11664-014-3235-x
DOI:10.1021/jacs.0c00306,10.1021/jacs.0c00306,27663,,,12,12,12,105,1.065011,0,0,0,0,12,0,0,"10.1021_jacs.0c00306__sample_34999, 10.1021_jacs.0c00306__sample_35000, 10.1021_jacs.0c00306__sample_35001, 10.1021_jacs.0c00306__sample_34998, 10.1021_jacs.0c00306__sample_35002, 10.1021_jacs.0c00306__sample_35003, 10.1021_jacs.0c00306__sample_35049, 10.1021_jacs.0c00306__sample_35051, 10.1021_jacs.0c00306__sample_35052, 10.1021_jacs.0c00306__sample_35053",A,max score=105; samples=12,no,https://doi.org/10.1021/jacs.0c00306
DOI:10.1016/j.scriptamat.2014.10.001,10.1016/j.scriptamat.2014.10.001,5203,,,5,5,5,105,1.068087,0,0,0,0,5,0,0,"10.1016_j.scriptamat.2014.10.001__sample_21190, 10.1016_j.scriptamat.2014.10.001__sample_21191, 10.1016_j.scriptamat.2014.10.001__sample_21192, 10.1016_j.scriptamat.2014.10.001__sample_21193, 10.1016_j.scriptamat.2014.10.001__sample_21194",A,max score=105; samples=5,no,https://doi.org/10.1016/j.scriptamat.2014.10.001
DOI:10.1016/j.scriptamat.2013.07.008,10.1016/j.scriptamat.2013.07.008,5198,,,5,5,5,105,1.380509,0,0,0,0,5,0,0,"10.1016_j.scriptamat.2013.07.008__sample_9401, 10.1016_j.scriptamat.2013.07.008__sample_9405, 10.1016_j.scriptamat.2013.07.008__sample_9399, 10.1016_j.scriptamat.2013.07.008__sample_9403, 10.1016_j.scriptamat.2013.07.008__sample_9398",A,max score=105; samples=5,no,https://doi.org/10.1016/j.scriptamat.2013.07.008
DOI:10.1063/1.4918311,10.1063/1.4918311,2182,,,3,3,3,105,1.105713,0,0,0,0,3,0,0,"10.1063_1.4918311__sample_8493, 10.1063_1.4918311__sample_8492, 10.1063_1.4918311__sample_8494",A,max score=105; samples=3,no,https://doi.org/10.1063/1.4918311
DOI:10.1021/ja306527n,10.1021/ja306527n,3497,,,12,12,12,105,1.295793,0,0,0,11,1,0,0,"10.1021_ja306527n__sample_155, 10.1021_ja306527n__sample_156, 10.1021_ja306527n__sample_162, 10.1021_ja306527n__sample_171, 10.1021_ja306527n__sample_242, 10.1021_ja306527n__sample_252, 10.1021_ja306527n__sample_278, 10.1021_ja306527n__sample_357, 10.1021_ja306527n__sample_418, 10.1021_ja306527n__sample_163",A,max score=105; samples=12,no,https://doi.org/10.1021/ja306527n
DOI:10.1016/j.jallcom.2016.09.231,10.1016/j.jallcom.2016.09.231,18558,,,4,4,4,105,1.16016,0,0,0,0,4,0,0,"10.1016_j.jallcom.2016.09.231__sample_2415, 10.1016_j.jallcom.2016.09.231__sample_2412, 10.1016_j.jallcom.2016.09.231__sample_2413, 10.1016_j.jallcom.2016.09.231__sample_2414",A,max score=105; samples=4,no,https://doi.org/10.1016/j.jallcom.2016.09.231
DOI:10.1007/s11664-016-4865-y,10.1007/s11664-016-4865-y,11021,,,5,5,5,105,1.0,0,0,0,0,5,0,0,"10.1007_s11664-016-4865-y__sample_2343, 10.1007_s11664-016-4865-y__sample_2341, 10.1007_s11664-016-4865-y__sample_2342, 10.1007_s11664-016-4865-y__sample_2344, 10.1007_s11664-016-4865-y__sample_2345",A,max score=105; samples=5,no,https://doi.org/10.1007/s11664-016-4865-y
DOI:10.1016/j.jallcom.2018.10.209,10.1016/j.jallcom.2018.10.209,31894,,,2,2,2,105,1.041284,0,0,0,2,0,0,0,"10.1016_j.jallcom.2018.10.209__sample_40339, 10.1016_j.jallcom.2018.10.209__sample_40340",A,max score=105; samples=2,no,https://doi.org/10.1016/j.jallcom.2018.10.209
DOI:10.1007/s11664-014-3486-6,10.1007/s11664-014-3486-6,10853,,,6,6,6,105,0.01753168,6,0,6,6,0,0,0,"10.1007_s11664-014-3486-6__sample_32429, 10.1007_s11664-014-3486-6__sample_32431, 10.1007_s11664-014-3486-6__sample_32432, 10.1007_s11664-014-3486-6__sample_32433, 10.1007_s11664-014-3486-6__sample_32434, 10.1007_s11664-014-3486-6__sample_32428",A,max score=105; samples=6,no,https://doi.org/10.1007/s11664-014-3486-6
DOI:10.34133/2020/5016564,10.34133/2020/5016564,29610,,,4,4,4,105,1.17717,0,0,0,4,0,0,0,"10.34133_2020_5016564__sample_38160, 10.34133_2020_5016564__sample_38161, 10.34133_2020_5016564__sample_38162, 10.34133_2020_5016564__sample_38163",A,max score=105; samples=4,no,https://doi.org/10.34133/2020/5016564
DOI:10.1039/c6ra01947a,10.1039/c6ra01947a,16863,,,4,4,4,105,1.170163,0,0,0,0,4,0,0,"10.1039_c6ra01947a__sample_42875, 10.1039_c6ra01947a__sample_42873, 10.1039_c6ra01947a__sample_42874, 10.1039_c6ra01947a__sample_42876",A,max score=105; samples=4,no,https://doi.org/10.1039/c6ra01947a
DOI:10.1088/1674-1056/21/1/017401,10.1088/1674-1056/21/1/017401,7495,,,4,4,4,105,1.32602,0,0,0,0,4,0,0,"10.1088_1674-1056_21_1_017401__sample_39445, 10.1088_1674-1056_21_1_017401__sample_39446, 10.1088_1674-1056_21_1_017401__sample_39447, 10.1088_1674-1056_21_1_017401__sample_39444",A,max score=105; samples=4,no,https://doi.org/10.1088/1674-1056/21/1/017401
DOI:10.1016/j.jallcom.2019.153453,10.1016/j.jallcom.2019.153453,23631,,,9,9,9,105,1.144367,0,0,0,9,0,0,0,"10.1016_j.jallcom.2019.153453__sample_29516, 10.1016_j.jallcom.2019.153453__sample_29494, 10.1016_j.jallcom.2019.153453__sample_29503, 10.1016_j.jallcom.2019.153453__sample_29504, 10.1016_j.jallcom.2019.153453__sample_29505, 10.1016_j.jallcom.2019.153453__sample_29513, 10.1016_j.jallcom.2019.153453__sample_29514, 10.1016_j.jallcom.2019.153453__sample_29515, 10.1016_j.jallcom.2019.153453__sample_29517",A,max score=105; samples=9,no,https://doi.org/10.1016/j.jallcom.2019.153453
DOI:10.1016/j.jallcom.2017.06.110,10.1016/j.jallcom.2017.06.110,18546,,,3,3,3,105,1.118156,0,0,0,3,0,0,0,"10.1016_j.jallcom.2017.06.110__sample_2305, 10.1016_j.jallcom.2017.06.110__sample_2306, 10.1016_j.jallcom.2017.06.110__sample_2307",A,max score=105; samples=3,no,https://doi.org/10.1016/j.jallcom.2017.06.110
DOI:10.1039/c5nr01786f,10.1039/c5nr01786f,4165,,,1,1,1,105,1.20309,0,0,0,1,0,0,0,10.1039_c5nr01786f__sample_32809,A,max score=105; samples=1,no,https://doi.org/10.1039/c5nr01786f
DOI:10.1016/j.jallcom.2020.153933,10.1016/j.jallcom.2020.153933,24693,,,5,5,5,105,1.271215,0,0,0,0,5,0,0,"10.1016_j.jallcom.2020.153933__sample_28491, 10.1016_j.jallcom.2020.153933__sample_28492, 10.1016_j.jallcom.2020.153933__sample_28493, 10.1016_j.jallcom.2020.153933__sample_28494, 10.1016_j.jallcom.2020.153933__sample_28490",A,max score=105; samples=5,no,https://doi.org/10.1016/j.jallcom.2020.153933
DOI:10.1021/acsami.9b15348,10.1021/acsami.9b15348,24152,,,5,5,5,105,1.452603,0,0,0,0,5,0,0,"10.1021_acsami.9b15348__sample_41138, 10.1021_acsami.9b15348__sample_41139, 10.1021_acsami.9b15348__sample_41140, 10.1021_acsami.9b15348__sample_41141, 10.1021_acsami.9b15348__sample_41142",A,max score=105; samples=5,no,https://doi.org/10.1021/acsami.9b15348
DOI:10.1073/pnas.1424388112,10.1073/pnas.1424388112,16684,,,2,2,2,105,1.375358,0,0,0,0,2,0,0,"10.1073_pnas.1424388112__sample_25020, 10.1073_pnas.1424388112__sample_25021",A,max score=105; samples=2,no,https://doi.org/10.1073/pnas.1424388112
DOI:10.7567/1882-0786/ab587c,10.7567/1882-0786/ab587c,21364,,,2,2,2,105,1.190479,0,0,0,1,1,0,0,"10.7567_1882-0786_ab587c__sample_30931, 10.7567_1882-0786_ab587c__sample_30930",A,max score=105; samples=2,no,https://doi.org/10.7567/1882-0786/ab587c
DOI:10.1021/acsnano.6b01156,10.1021/acsnano.6b01156,5750,,,8,8,8,100,1.242375,0,0,0,0,8,0,0,"10.1021_acsnano.6b01156__sample_5954, 10.1021_acsnano.6b01156__sample_5955, 10.1021_acsnano.6b01156__sample_5956, 10.1021_acsnano.6b01156__sample_5957, 10.1021_acsnano.6b01156__sample_5952, 10.1021_acsnano.6b01156__sample_5953, 10.1021_acsnano.6b01156__sample_5958, 10.1021_acsnano.6b01156__sample_5959",A,max score=100; samples=8,no,https://doi.org/10.1021/acsnano.6b01156
DOI:10.1021/acsenergylett.9b01093,10.1021/acsenergylett.9b01093,32023,,,8,8,8,100,1.287515,0,0,0,8,0,0,0,"10.1021_acsenergylett.9b01093__sample_42849, 10.1021_acsenergylett.9b01093__sample_42850, 10.1021_acsenergylett.9b01093__sample_42846, 10.1021_acsenergylett.9b01093__sample_42848, 10.1021_acsenergylett.9b01093__sample_42843, 10.1021_acsenergylett.9b01093__sample_42844, 10.1021_acsenergylett.9b01093__sample_42845, 10.1021_acsenergylett.9b01093__sample_42847",A,max score=100; samples=8,no,https://doi.org/10.1021/acsenergylett.9b01093
DOI:10.1007/s11664-013-2857-8,10.1007/s11664-013-2857-8,2538,,,4,4,4,100,1.062866,0,0,0,4,0,0,0,"10.1007_s11664-013-2857-8__sample_1703, 10.1007_s11664-013-2857-8__sample_1704, 10.1007_s11664-013-2857-8__sample_1701, 10.1007_s11664-013-2857-8__sample_1702",A,max score=100; samples=4,no,https://doi.org/10.1007/s11664-013-2857-8
DOI:10.1021/jacs.7b05339,10.1021/jacs.7b05339,18623,,,3,3,3,100,1.160232,0,0,0,3,0,0,0,"10.1021_jacs.7b05339__sample_44840, 10.1021_jacs.7b05339__sample_44838, 10.1021_jacs.7b05339__sample_44839",A,max score=100; samples=3,no,https://doi.org/10.1021/jacs.7b05339
DOI:10.1021/cm504112m,10.1021/cm504112m,627,,,8,8,8,100,1.151597,0,0,0,8,0,0,0,"10.1021_cm504112m__sample_376, 10.1021_cm504112m__sample_177, 10.1021_cm504112m__sample_263, 10.1021_cm504112m__sample_365, 10.1021_cm504112m__sample_283, 10.1021_cm504112m__sample_305, 10.1021_cm504112m__sample_408, 10.1021_cm504112m__sample_423",A,max score=100; samples=8,no,https://doi.org/10.1021/cm504112m
DOI:10.1021/jacs.7b05143,10.1021/jacs.7b05143,27944,,,4,4,4,100,1.018114,0,0,0,4,0,0,0,"10.1021_jacs.7b05143__sample_31913, 10.1021_jacs.7b05143__sample_31915, 10.1021_jacs.7b05143__sample_31914, 10.1021_jacs.7b05143__sample_31916",A,max score=100; samples=4,no,https://doi.org/10.1021/jacs.7b05143
DOI:10.1021/acsenergylett.8b00137,10.1021/acsenergylett.8b00137,32092,,,12,12,12,100,1.157371,0,0,0,12,0,0,0,"10.1021_acsenergylett.8b00137__sample_43754, 10.1021_acsenergylett.8b00137__sample_43755, 10.1021_acsenergylett.8b00137__sample_43756, 10.1021_acsenergylett.8b00137__sample_43757, 10.1021_acsenergylett.8b00137__sample_43747, 10.1021_acsenergylett.8b00137__sample_43748, 10.1021_acsenergylett.8b00137__sample_43749, 10.1021_acsenergylett.8b00137__sample_43750, 10.1021_acsenergylett.8b00137__sample_43751, 10.1021_acsenergylett.8b00137__sample_43752",A,max score=100; samples=12,no,https://doi.org/10.1021/acsenergylett.8b00137
DOI:10.1007/s11664-013-2865-8,10.1007/s11664-013-2865-8,2540,,,8,8,8,100,1.554348,0,0,0,0,8,0,0,"10.1007_s11664-013-2865-8__sample_8617, 10.1007_s11664-013-2865-8__sample_8618, 10.1007_s11664-013-2865-8__sample_8619, 10.1007_s11664-013-2865-8__sample_8620, 10.1007_s11664-013-2865-8__sample_8621, 10.1007_s11664-013-2865-8__sample_8622, 10.1007_s11664-013-2865-8__sample_8616, 10.1007_s11664-013-2865-8__sample_8615",A,max score=100; samples=8,no,https://doi.org/10.1007/s11664-013-2865-8
DOI:10.1021/jacs.6b09568,10.1021/jacs.6b09568,34308,,,6,6,6,100,1.276964,0,0,0,0,6,0,0,"10.1021_jacs.6b09568__sample_44732, 10.1021_jacs.6b09568__sample_44733, 10.1021_jacs.6b09568__sample_44734, 10.1021_jacs.6b09568__sample_44735, 10.1021_jacs.6b09568__sample_44736, 10.1021_jacs.6b09568__sample_44731",A,max score=100; samples=6,no,https://doi.org/10.1021/jacs.6b09568
DOI:10.1021/jacs.6b07010,10.1021/jacs.6b07010,18599,,,12,12,12,100,2.462241,0,0,0,12,0,0,0,"10.1021_jacs.6b07010__sample_2886, 10.1021_jacs.6b07010__sample_2887, 10.1021_jacs.6b07010__sample_2890, 10.1021_jacs.6b07010__sample_2891, 10.1021_jacs.6b07010__sample_2892, 10.1021_jacs.6b07010__sample_2893, 10.1021_jacs.6b07010__sample_2894, 10.1021_jacs.6b07010__sample_2895, 10.1021_jacs.6b07010__sample_2896, 10.1021_jacs.6b07010__sample_2885",A,max score=100; samples=12,no,https://doi.org/10.1021/jacs.6b07010
DOI:10.1021/jacs.5b13276,10.1021/jacs.5b13276,13057,,,11,11,11,100,1.205108,0,0,0,11,0,0,0,"10.1021_jacs.5b13276__sample_3039, 10.1021_jacs.5b13276__sample_3040, 10.1021_jacs.5b13276__sample_3034, 10.1021_jacs.5b13276__sample_3035, 10.1021_jacs.5b13276__sample_3036, 10.1021_jacs.5b13276__sample_3037, 10.1021_jacs.5b13276__sample_3038, 10.1021_jacs.5b13276__sample_3041, 10.1021_jacs.5b13276__sample_3042, 10.1021_jacs.5b13276__sample_3032",A,max score=100; samples=11,no,https://doi.org/10.1021/jacs.5b13276
DOI:10.1021/am303145v,10.1021/am303145v,5727,,,2,2,2,100,1.058793,0,0,0,2,0,0,0,"10.1021_am303145v__sample_5951, 10.1021_am303145v__sample_5950",A,max score=100; samples=2,no,https://doi.org/10.1021/am303145v
DOI:10.1021/jacs.7b11662,10.1021/jacs.7b11662,38432,,,7,7,7,100,1.497116,0,0,0,0,7,0,0,"10.1021_jacs.7b11662__sample_44876, 10.1021_jacs.7b11662__sample_44877, 10.1021_jacs.7b11662__sample_44878, 10.1021_jacs.7b11662__sample_44879, 10.1021_jacs.7b11662__sample_44880, 10.1021_jacs.7b11662__sample_44882, 10.1021_jacs.7b11662__sample_44883",A,max score=100; samples=7,no,https://doi.org/10.1021/jacs.7b11662
DOI:10.1021/acsenergylett.7b00742,10.1021/acsenergylett.7b00742,27909,,,5,5,5,100,1.495146,0,0,0,0,5,0,0,"10.1021_acsenergylett.7b00742__sample_31107, 10.1021_acsenergylett.7b00742__sample_31108, 10.1021_acsenergylett.7b00742__sample_31109, 10.1021_acsenergylett.7b00742__sample_31110, 10.1021_acsenergylett.7b00742__sample_31111",A,max score=100; samples=5,no,https://doi.org/10.1021/acsenergylett.7b00742
DOI:10.1021/jacs.7b05881,10.1021/jacs.7b05881,18620,,,13,13,13,100,1.175226,0,0,0,13,0,0,0,"10.1021_jacs.7b05881__sample_39988, 10.1021_jacs.7b05881__sample_40025, 10.1021_jacs.7b05881__sample_39982, 10.1021_jacs.7b05881__sample_39983, 10.1021_jacs.7b05881__sample_39984, 10.1021_jacs.7b05881__sample_39985, 10.1021_jacs.7b05881__sample_39987, 10.1021_jacs.7b05881__sample_39989, 10.1021_jacs.7b05881__sample_39990, 10.1021_jacs.7b05881__sample_39991",A,max score=100; samples=13,no,https://doi.org/10.1021/jacs.7b05881
