sample_key,split_random_80_20_step18,split_random_70_15_15_step18,split_doi_group_80_20_step18,split_material_system_group_step18
10.1002_adfm.201906143__sample_27133,train,train,train,not_assigned
10.1002_adfm.201906143__sample_27134,train,test,train,not_assigned
10.1002_adfm.201908315__sample_36216,train,train,train,not_assigned
10.1002_adfm.201908315__sample_36217,train,train,train,not_assigned
10.1002_adfm.201908315__sample_36218,train,train,train,not_assigned
10.1002_adfm.201908315__sample_36225,train,train,train,not_assigned
10.1002_adfm.201908405__sample_36198,train,train,train,not_assigned
10.1002_adfm.201908405__sample_36199,train,train,train,not_assigned
10.1002_adfm.201908405__sample_36200,train,train,train,not_assigned
10.1002_adfm.201908405__sample_36201,test,train,train,not_assigned
10.1002_adfm.202000973__sample_33834,train,valid,train,not_assigned
10.1002_adfm.202000973__sample_33836,train,test,train,not_assigned
10.1002_adfm.202000973__sample_33837,train,train,train,not_assigned
10.1002_adfm.202000973__sample_33838,train,train,train,not_assigned
10.1002_adfm.202001651__sample_37276,test,test,train,not_assigned
10.1002_adfm.202001651__sample_37277,train,train,train,not_assigned
10.1002_adfm.202001651__sample_37278,train,valid,train,not_assigned
10.1002_adfm.202001651__sample_37279,train,test,train,not_assigned
10.1002_adfm.202007340__sample_42093,train,valid,train,not_assigned
10.1002_adfm.202007340__sample_42094,train,test,train,not_assigned
10.1002_adfm.202007340__sample_42095,train,train,train,not_assigned
10.1002_adfm.202007340__sample_42096,test,train,train,not_assigned
10.1002_adfm.202007340__sample_42097,train,valid,train,not_assigned
10.1002_adfm.202007340__sample_42098,train,train,train,not_assigned
10.1002_adfm.202007340__sample_42099,test,train,train,not_assigned
10.1002_adfm.202007340__sample_42100,test,train,train,not_assigned
10.1002_adfm.202007340__sample_42101,train,train,train,not_assigned
10.1002_adfm.202007340__sample_42102,train,train,train,not_assigned
10.1002_adfm.202007340__sample_42103,train,train,train,not_assigned
10.1002_adfm.202008851__sample_41914,train,train,train,not_assigned
10.1002_adfm.202008851__sample_41915,train,train,train,not_assigned
10.1002_adfm.202008851__sample_41916,test,train,train,not_assigned
10.1002_adfm.202008851__sample_41917,test,train,train,not_assigned
10.1002_adfm.202008851__sample_41918,train,test,train,not_assigned
10.1002_adfm.202008851__sample_41919,train,test,train,not_assigned
10.1002_adfm.202008851__sample_41925,test,test,train,not_assigned
10.1002_adfm.202008851__sample_41926,test,train,train,not_assigned
10.1002_adfm.202008851__sample_41927,train,train,train,not_assigned
10.1002_adfm.202008851__sample_41928,test,test,train,not_assigned
10.1002_adfm.202008851__sample_41929,train,test,train,not_assigned
10.1002_adfm.202008851__sample_41930,train,train,train,not_assigned
10.1002_adfm.202008851__sample_41931,train,valid,train,not_assigned
10.1002_adfm.202008851__sample_41933,test,train,train,not_assigned
10.1002_adfm.202102185__sample_45225,train,train,train,not_assigned
10.1002_adfm.202102185__sample_45226,train,train,train,not_assigned
10.1002_adfm.202102185__sample_45227,train,train,train,not_assigned
10.1002_adfm.202102185__sample_45228,train,valid,train,not_assigned
10.1002_adfm.202102185__sample_45229,train,train,train,not_assigned
10.1002_adfm.202102185__sample_45230,train,test,train,not_assigned
10.1002_adfm.202102185__sample_45231,train,train,train,not_assigned
10.1002_adfm.202102185__sample_45232,test,test,train,not_assigned
10.1002_adfm.202102185__sample_45233,train,valid,train,not_assigned
10.1002_adfm.202102185__sample_45234,train,train,train,not_assigned
10.1002_adfm.202102185__sample_45235,train,test,train,not_assigned
10.1002_adfm.202102185__sample_45236,test,test,train,not_assigned
10.1002_adfm.202102185__sample_45237,train,train,train,not_assigned
10.1002_adfm.202102185__sample_45238,train,valid,train,not_assigned
10.1002_adfm.202102185__sample_45239,train,valid,train,not_assigned
10.1002_adfm.202102185__sample_45240,test,test,train,not_assigned
10.1002_adfm.202102185__sample_45241,train,train,train,not_assigned
10.1002_adfm.202103197__sample_44630,train,train,train,not_assigned
10.1002_adfm.202103197__sample_44631,train,train,train,not_assigned
10.1002_adfm.202103197__sample_44632,test,test,train,not_assigned
10.1002_adfm.202103197__sample_44633,train,train,train,not_assigned
10.1002_adfm.202103197__sample_44634,train,train,train,not_assigned
10.1002_adma.200502770__sample_13687,train,train,train,not_assigned
10.1002_adma.200600527__sample_26771,train,train,train,not_assigned
10.1002_adma.200900409__sample_26773,train,train,train,not_assigned
10.1002_adma.200900409__sample_26774,train,train,train,not_assigned
10.1002_adma.200900409__sample_26775,test,valid,train,not_assigned
10.1002_adma.200900409__sample_26776,test,test,train,not_assigned
10.1002_adma.201004200__sample_102,test,valid,train,not_assigned
10.1002_adma.201004200__sample_124,train,train,train,not_assigned
10.1002_adma.201004200__sample_127,test,train,train,not_assigned
10.1002_adma.201004200__sample_147,train,train,train,not_assigned
10.1002_adma.201004200__sample_324,train,train,train,not_assigned
10.1002_adma.201004200__sample_73,train,train,train,not_assigned
10.1002_adma.201004739__sample_12718,test,train,train,not_assigned
10.1002_adma.201004739__sample_12719,train,valid,train,not_assigned
10.1002_adma.201004782__sample_20287,train,train,test,not_assigned
10.1002_adma.201004782__sample_20288,train,train,test,not_assigned
10.1002_adma.201004782__sample_20289,train,train,test,not_assigned
10.1002_adma.201103153__sample_26782,train,valid,train,not_assigned
10.1002_adma.201103153__sample_26783,train,train,train,not_assigned
10.1002_adma.201103153__sample_26784,train,valid,train,not_assigned
10.1002_adma.201103153__sample_26785,train,valid,train,not_assigned
10.1002_adma.201103153__sample_26786,train,train,train,not_assigned
10.1002_adma.201103153__sample_26787,train,train,train,not_assigned
10.1002_adma.201104305__sample_84020,train,train,test,not_assigned
10.1002_adma.201104305__sample_84021,train,train,test,not_assigned
10.1002_adma.201104305__sample_84022,test,train,test,not_assigned
10.1002_adma.201201974__sample_6565,train,train,train,not_assigned
10.1002_adma.201201974__sample_6566,train,train,train,not_assigned
10.1002_adma.201202860__sample_12720,train,train,train,not_assigned
10.1002_adma.201202860__sample_12721,train,train,train,not_assigned
10.1002_adma.201202860__sample_12722,test,train,train,not_assigned
10.1002_adma.201203764__sample_1426,train,train,train,not_assigned
10.1002_adma.201203764__sample_1427,train,train,train,not_assigned
10.1002_adma.201203764__sample_1428,test,train,train,not_assigned
10.1002_adma.201203764__sample_1429,train,train,train,not_assigned
10.1002_adma.201203764__sample_1430,train,train,train,not_assigned
10.1002_adma.201301675__sample_20783,test,valid,train,not_assigned
10.1002_adma.201301675__sample_20784,train,train,train,not_assigned
10.1002_adma.201301675__sample_20785,train,valid,train,not_assigned
10.1002_adma.201301675__sample_20786,train,train,train,not_assigned
10.1002_adma.201302660__sample_14493,train,train,train,not_assigned
10.1002_adma.201302660__sample_14496,train,train,train,not_assigned
10.1002_adma.201302660__sample_14498,train,test,train,not_assigned
10.1002_adma.201400515__sample_7652,train,train,test,not_assigned
10.1002_adma.201400515__sample_7653,train,train,test,not_assigned
10.1002_adma.201400515__sample_7654,train,valid,test,not_assigned
10.1002_adma.201500110__sample_19708,train,train,train,not_assigned
10.1002_adma.201500110__sample_19709,train,train,train,not_assigned
10.1002_adma.201501030__sample_42634,train,train,test,not_assigned
10.1002_adma.201501030__sample_42635,train,train,test,not_assigned
10.1002_adma.201501030__sample_42636,train,train,test,not_assigned
10.1002_adma.201501970__sample_6417,train,train,test,not_assigned
10.1002_adma.201505922__sample_32232,train,train,train,not_assigned
10.1002_adma.201605887__sample_2944,train,test,train,not_assigned
10.1002_adma.201605887__sample_2945,train,valid,train,not_assigned
10.1002_adma.201605887__sample_2946,train,train,train,not_assigned
10.1002_adma.201605887__sample_2947,train,valid,train,not_assigned
10.1002_adma.201605887__sample_2948,train,train,train,not_assigned
10.1002_adma.201605887__sample_2949,train,train,train,not_assigned
10.1002_adma.201605887__sample_2950,train,train,train,not_assigned
10.1002_adma.201605887__sample_2951,train,train,train,not_assigned
10.1002_adma.201605887__sample_2968,train,train,train,not_assigned
10.1002_adma.201605887__sample_2969,train,train,train,not_assigned
10.1002_adma.201605887__sample_2970,train,test,train,not_assigned
10.1002_adma.201605887__sample_2971,train,train,train,not_assigned
10.1002_adma.201605887__sample_2973,test,train,train,not_assigned
10.1002_adma.201605887__sample_2974,train,train,train,not_assigned
10.1002_adma.201705942__sample_31967,train,train,test,not_assigned
10.1002_adma.201705942__sample_31968,train,train,test,not_assigned
10.1002_adma.201705942__sample_31969,train,train,test,not_assigned
10.1002_adma.201705942__sample_31970,train,valid,test,not_assigned
10.1002_adma.201705942__sample_31971,train,train,test,not_assigned
10.1002_adma.201705942__sample_31972,train,train,test,not_assigned
10.1002_adma.201705942__sample_31973,train,train,test,not_assigned
10.1002_adma.201705942__sample_31974,train,train,test,not_assigned
10.1002_adma.201800881__sample_83334,test,train,train,not_assigned
10.1002_adma.201800881__sample_83335,test,valid,train,not_assigned
10.1002_adma.201800881__sample_83336,train,valid,train,not_assigned
10.1002_adma.201800881__sample_83338,test,train,train,not_assigned
10.1002_adma.201800881__sample_83341,test,train,train,not_assigned
10.1002_adma.201800881__sample_83342,train,test,train,not_assigned
10.1002_adma.201800881__sample_83343,train,valid,train,not_assigned
10.1002_adma.201903387__sample_27625,train,train,train,not_assigned
10.1002_adma.201903387__sample_27626,train,test,train,not_assigned
10.1002_adma.201903387__sample_27627,train,train,train,not_assigned
10.1002_adma.201903387__sample_27628,train,train,train,not_assigned
10.1002_adma.201903387__sample_27629,train,train,train,not_assigned
10.1002_adma.201903387__sample_27668,train,train,train,not_assigned
10.1002_adma.201903387__sample_27669,train,train,train,not_assigned
10.1002_adma.201903387__sample_27671,train,train,train,not_assigned
10.1002_adma.201903387__sample_27675,train,test,train,not_assigned
10.1002_adma.201903387__sample_27677,train,train,train,not_assigned
10.1002_adma.201903387__sample_27680,test,train,train,not_assigned
10.1002_adma.202005612__sample_42028,train,valid,train,not_assigned
10.1002_adma.202005612__sample_42029,train,test,train,not_assigned
10.1002_adma.202005612__sample_42030,train,train,train,not_assigned
10.1002_adma.202005612__sample_42031,train,test,train,not_assigned
10.1002_adma.202005612__sample_42032,train,train,train,not_assigned
10.1002_adma.202102575__sample_46214,train,test,train,not_assigned
10.1002_adma.202102575__sample_46215,train,train,train,not_assigned
10.1002_adma.202102575__sample_46216,train,train,train,not_assigned
10.1002_adma.202102575__sample_46217,test,train,train,not_assigned
10.1002_adma.202102575__sample_46218,test,valid,train,not_assigned
10.1002_adma.202102575__sample_46219,train,train,train,not_assigned
10.1002_adma.202102575__sample_46229,test,train,train,not_assigned
10.1002_adma.202102575__sample_46230,train,train,train,not_assigned
10.1002_adma.202102575__sample_46231,train,train,train,not_assigned
10.1002_adma.202310480__sample_83873,train,train,train,not_assigned
10.1002_adma.202310480__sample_83874,test,train,train,not_assigned
10.1002_adma.202310480__sample_83875,train,train,train,not_assigned
10.1002_admi.201900467__sample_27466,train,train,train,not_assigned
10.1002_admi.201900467__sample_27467,train,valid,train,not_assigned
10.1002_admi.201900467__sample_27468,test,train,train,not_assigned
10.1002_admi.201900467__sample_27469,train,test,train,not_assigned
10.1002_admi.201900467__sample_27470,train,train,train,not_assigned
10.1002_advs.201600035__sample_31640,train,train,train,not_assigned
10.1002_advs.201600035__sample_31641,train,train,train,not_assigned
10.1002_advs.201600035__sample_31642,train,test,train,not_assigned
10.1002_advs.201600035__sample_31643,train,test,train,not_assigned
10.1002_advs.201700727__sample_11297,test,valid,train,not_assigned
10.1002_advs.201700727__sample_11298,train,train,train,not_assigned
10.1002_advs.201700727__sample_11299,train,train,train,not_assigned
10.1002_advs.201700727__sample_11300,train,train,train,not_assigned
10.1002_advs.201700727__sample_11301,test,train,train,not_assigned
10.1002_advs.201800278__sample_15613,train,train,train,not_assigned
10.1002_advs.201800278__sample_15614,test,train,train,not_assigned
10.1002_advs.201800278__sample_15615,train,valid,train,not_assigned
10.1002_advs.201800278__sample_15616,test,valid,train,not_assigned
10.1002_advs.201800278__sample_15617,train,train,train,not_assigned
10.1002_advs.201800278__sample_15618,train,train,train,not_assigned
10.1002_advs.201903493__sample_38383,train,train,train,not_assigned
10.1002_advs.201903493__sample_38388,train,valid,train,not_assigned
10.1002_advs.201903493__sample_38389,train,train,train,not_assigned
10.1002_advs.201903493__sample_38391,train,train,train,not_assigned
10.1002_advs.201903493__sample_38392,train,train,train,not_assigned
10.1002_advs.201903493__sample_38399,train,train,train,not_assigned
10.1002_advs.201903493__sample_38400,train,train,train,not_assigned
10.1002_advs.201903493__sample_38401,train,train,train,not_assigned
10.1002_advs.201903493__sample_38402,test,test,train,not_assigned
10.1002_advs.201903493__sample_38403,train,train,train,not_assigned
10.1002_advs.201903493__sample_38404,train,valid,train,not_assigned
10.1002_advs.201903493__sample_38418,train,valid,train,not_assigned
10.1002_advs.201903493__sample_38419,train,train,train,not_assigned
10.1002_advs.201903493__sample_38420,train,train,train,not_assigned
10.1002_advs.201903493__sample_38429,train,train,train,not_assigned
10.1002_advs.201903493__sample_38430,train,valid,train,not_assigned
10.1002_aelm.201600019__sample_3207,train,valid,train,not_assigned
10.1002_aelm.201600019__sample_3208,train,train,train,not_assigned
10.1002_aelm.201600019__sample_3209,test,train,train,not_assigned
10.1002_aelm.201600019__sample_3210,train,train,train,not_assigned
10.1002_aelm.201600171__sample_42883,train,train,train,not_assigned
10.1002_aelm.201600171__sample_42884,test,test,train,not_assigned
10.1002_aelm.201600171__sample_42885,train,test,train,not_assigned
10.1002_aelm.201600171__sample_42886,train,train,train,not_assigned
10.1002_aelm.201600171__sample_42887,train,train,train,not_assigned
10.1002_aelm.201600171__sample_42888,train,train,train,not_assigned
10.1002_aelm.201700223__sample_41732,train,train,train,not_assigned
10.1002_aelm.201700223__sample_41738,train,test,train,not_assigned
10.1002_aelm.201900166__sample_27761,test,train,train,not_assigned
10.1002_aelm.201901178__sample_35288,train,valid,train,not_assigned
10.1002_aelm.201901178__sample_35290,test,valid,train,not_assigned
10.1002_aelm.201901178__sample_35291,train,valid,train,not_assigned
10.1002_aelm.201901178__sample_35293,test,train,train,not_assigned
10.1002_aelm.201901178__sample_35301,train,train,train,not_assigned
10.1002_aelm.201901178__sample_35302,train,train,train,not_assigned
10.1002_aelm.201901178__sample_35303,train,train,train,not_assigned
10.1002_aelm.201901178__sample_35304,train,valid,train,not_assigned
10.1002_aelm.201901178__sample_35305,train,train,train,not_assigned
10.1002_aelm.201901391__sample_34787,train,test,train,not_assigned
10.1002_aelm.201901391__sample_34788,train,train,train,not_assigned
